Date,Ticker,Close,return_1d,return_5d,return_20d,ma20_ma60_ratio,close_ma20_ratio,close_ma60_ratio,volatility_5d,volatility_20d,rsi,forward_return_5d,target
2022-04-27,NVDA,18.360136032104492,-0.019852918865277513,-0.1427704937405586,-0.35737708617142905,-0.05051331810289306,-0.19207822291736665,-0.2328890326453964,0.03239854866598176,0.030862774184862485,20.171290434157218,0.10420882030010592,1
2022-04-28,NVDA,19.723060607910156,0.07423281469279197,-0.01986819747194768,-0.2855905884940898,-0.06383094524962196,-0.11678238378638928,-0.17315899909042187,0.051191516140673084,0.03735403371814696,30.26222664178728,-0.047416659284735374,0
2022-04-29,NVDA,18.491743087768555,-0.0624303471261336,-0.049602891795489046,-0.32027406384306356,-0.07779610008559446,-0.15544577830451145,-0.22114880306324491,0.0568725959499686,0.03876337034503275,29.87322988820347,0.006901083744309755,0
2022-05-02,NVDA,19.47480201721191,0.05316204777328992,-0.018540957996757368,-0.2687557079195272,-0.09006050092777984,-0.09576776765784378,-0.177203375457623,0.06272546093679728,0.04192025687111157,39.301739136257545,-0.13223775158771844,0
2022-05-03,NVDA,19.54360008239746,0.00353267083920783,0.04332574345477336,-0.2835525670856961,-0.10343370913712557,-0.0759809177712858,-0.17155563875968438,0.055153484806452054,0.041155848267161885,41.19283976531767,-0.10238750399527641,0
2022-05-04,NVDA,20.27342414855957,0.037343379064507465,0.10420882030010592,-0.21584180431340705,-0.11251687427143164,-0.02866117701116655,-0.13795318523236155,0.053387322970784766,0.041842884688027035,41.37200407302118,-0.18215819137495293,0
2022-05-05,NVDA,18.787858963012695,-0.07327648130187348,-0.047416659284735374,-0.22792624428689667,-0.12041851210179999,-0.08771596279395932,-0.197571849168534,0.057343145572196975,0.042824084452138825,39.389963558579545,-0.14163672410717743,0
2022-05-06,NVDA,18.619356155395508,-0.008968707288516287,0.006901083744309755,-0.22856098592161467,-0.12722792382034465,-0.0836246716172443,-0.20021320208756888,0.049130634354059344,0.0428206406669915,35.898356410844855,-0.05188731092957777,0
2022-05-09,NVDA,16.899497985839844,-0.09236936847879584,-0.13223775158771844,-0.26683691766801254,-0.13496130870508716,-0.15548753139886518,-0.2694640393790383,0.05434103127247962,0.04593807541832356,28.718574346351986,0.01852519422803356,1
2022-05-10,NVDA,17.542579650878906,0.0380532999014469,-0.10238750399527641,-0.19719839700909092,-0.14035399299904316,-0.11380951659225069,-0.23818988949628062,0.060942031435344116,0.04646800449856233,34.14636696468017,0.03307752090707705,1
2022-05-11,NVDA,16.580453872680664,-0.05484517085547558,-0.18215819137495293,-0.2266553399669078,-0.14620273805818473,-0.1520043234163183,-0.2759836131943555,0.05270375441421855,0.04751875961535228,35.102743077335234,0.018520561472175068,1
2022-05-12,NVDA,16.126808166503906,-0.027360270693447153,-0.14163672410717743,-0.2714949725514699,-0.15298477371895813,-0.162331610671266,-0.29048211966424653,0.04894815645888173,0.04646240562030585,35.74112259505286,0.05867115343038254,1
2022-05-13,NVDA,17.653247833251953,0.09465231129359686,-0.05188731092957777,-0.16708991373103232,-0.15534075312406004,-0.0745323602312793,-0.21829520038489858,0.0747415298147355,0.05193646191513521,41.45925134059069,-0.05715569291221345,0
2022-05-16,NVDA,17.21256446838379,-0.024963302448974045,0.01852519422803356,-0.20745531192577482,-0.1608465288316946,-0.08685071869109773,-0.23372761089479122,0.06053187382921588,0.051485337446441334,43.74591275509315,-0.02120032919855308,0
2022-05-17,NVDA,18.12284469604492,0.05288463722725001,0.03307752090707705,-0.18114236517179794,-0.16640267195717806,-0.028225116446068288,-0.18993105361031815,0.06286825540036167,0.05303306980720303,49.06475895304481,-0.11129453070486084,0
2022-05-18,NVDA,16.88753318786621,-0.06816322320790502,0.018520561472175068,-0.2115258998484041,-0.17256511266285057,-0.08333008111758577,-0.2415153289441757,0.06638425758614853,0.054464255995583494,38.710717533174154,0.0021845663807409377,0
2022-05-19,NVDA,17.072986602783203,0.010981675822863357,0.05867115343038254,-0.15156286003542874,-0.17618062859525407,-0.06552841715175639,-0.23016420802236204,0.06381733354832417,0.05333918452464897,43.83825996743171,0.04245459974917232,1
2022-05-20,NVDA,16.644264221191406,-0.025111153166482714,-0.05715569291221345,-0.144555464083024,-0.1781806031519031,-0.08192747059234395,-0.24551018761939347,0.04534890973310939,0.05316181015909029,37.08494994431103,0.12681191805819325,1
