Date,Close,High,Low,Open,Volume,MA20,MA60,RSI,signal,sentiment_score,final_signal
2022-01-03,30.02614402770996,30.614286167328913,29.691201708964883,29.72110791823675,391547000,,,,Hold,0.0,Hold
2022-01-04,29.197765350341797,30.372055271999844,28.25972861799797,30.181656755028943,527154000,,,,Hold,0.0,Hold
2022-01-05,27.51706886291504,29.323362739600288,27.446293309746405,28.857832469761817,498064000,,,,Hold,0.0,Hold
2022-01-06,28.08926010131836,28.348441526045892,26.979766244192536,27.552954288101756,454186000,,,,Hold,0.0,Hold
2022-01-07,27.16119384765625,28.332494693927416,26.971791660779605,28.052379478532124,409939000,,,,Hold,0.0,Hold
2022-01-10,27.313709259033203,27.382492201861595,25.563238883232685,26.497288278632688,594681000,,,,Hold,0.0,Hold
2022-01-11,27.729400634765625,27.976620750573424,26.754481727173197,27.2369568124406,404089000,,,,Hold,0.0,Hold
2022-01-12,27.910825729370117,28.50494756627951,27.52105632637495,27.97861047249407,383413000,,,,Hold,0.0,Hold
2022-01-13,26.491308212280273,28.390307586035668,26.414549141387052,28.289625832276567,540171000,,,,Hold,0.0,Hold
2022-01-14,26.857152938842773,27.11135095047714,26.127457823826212,26.21717454542164,395832000,,,,Hold,0.0,Hold
2022-01-18,25.821428298950195,26.55411430633609,25.68884770952801,26.177304414004546,424270000,,,,Hold,0.0,Hold
2022-01-19,24.98805809020996,26.459409683048193,24.97310593684919,25.996872119985937,488315000,,,,Hold,0.0,Hold
2022-01-20,24.07394790649414,25.498448638286455,24.00217414256686,25.22431503185262,435181000,,,,Hold,0.0,Hold
2022-01-21,23.300392150878903,24.744828429105823,23.18974164646766,23.43297273498428,718958000,,,16.707783542637586,Hold,0.0,Hold
2022-01-24,23.29839324951172,23.30636747674364,20.82221696787781,22.25967504955575,913982000,,,16.704477898222876,Hold,0.0,Hold
2022-01-25,22.25369453430176,22.870746504571382,21.9307154992586,22.47499551238924,664616000,,,16.3543111238275,Hold,0.0,Hold
2022-01-26,22.70029067993164,23.981244082392827,22.229776879057887,23.166817365748525,755959000,,,23.49138216079255,Hold,0.0,Hold
2022-01-27,21.87489128112793,23.919432592467135,21.606737447782898,23.49377731200437,573353000,,,16.72720840853816,Hold,0.0,Hold
2022-01-28,22.768075942993164,22.786018910319385,21.228937446273747,21.942682333906376,543774000,,,26.390308875979105,Hold,0.0,Hold
2022-01-31,24.408889770507812,24.43181805477135,22.97940564831107,23.10899542114048,564680000,25.68909454345703,,36.54170672737041,Hold,0.0,Hold
2022-02-01,24.56041145324707,25.065814798100263,23.814765930647106,25.02494354865154,518925000,25.41580791473389,,34.949368421033554,Hold,0.0,Hold
2022-02-02,25.162508010864254,25.735696069563566,24.475676742278377,25.712769688020774,543419000,25.21404504776001,,37.44880779745131,Hold,0.0,Hold
2022-02-03,23.872581481933594,24.998025678674647,23.705111287686467,24.38097558762337,410178000,25.031820678710936,,37.89737965360461,Hold,0.0,Hold
2022-02-04,24.242412567138672,24.557417375083094,23.55757585819483,23.89650525040583,354829000,24.83947830200195,,37.920253833130154,Hold,0.0,Hold
2022-02-07,24.650127410888672,25.10269624776117,24.125782912567686,24.29524762592509,376868000,24.713924980163576,,44.25541078323171,Hold,0.0,Hold
2022-02-08,25.0289249420166,25.150540457970152,23.90447719428148,24.282283286827955,410359000,24.599685764312746,,50.209783472438325,Hold,0.0,Hold
2022-02-09,26.620899200439453,26.64083667175982,25.27315770145827,25.541309655752155,524282000,24.544260692596435,,62.22367262348297,Hold,0.0,Hold
2022-02-10,25.742677688598633,26.84021038947603,25.519384054932555,25.913140626547364,513200000,24.435853290557866,,61.604759138403125,Hold,0.0,Hold
2022-02-11,23.873579025268555,26.069642339244744,23.698134593993387,25.834385491481136,605472000,24.30496683120727,,52.32119273451427,Hold,0.0,Hold
2022-02-14,24.190580368041992,24.796665501968615,23.68019168599295,23.85862884432096,440424000,24.171638202667236,,58.30413421563078,Hold,0.0,Hold
2022-02-15,26.41156578063965,26.46140756576052,24.705953427119574,24.870432839092235,699869000,24.201145076751708,,63.81035429676871,Hold,0.0,Hold
2022-02-16,26.427513122558594,26.498290583942875,25.47153350229462,26.17630779823109,732676000,24.27311782836914,,68.02716515778495,Hold,0.0,Hold
2022-02-17,24.429821014404297,25.70379613633401,24.088899004953028,25.549283587406155,810595000,24.29091148376465,,56.05079642883187,Hold,0.0,Hold
2022-02-18,23.56754493713379,24.90731216889236,23.02725202902934,24.59031284874341,761255000,24.304269123077393,,46.75233800711426,Hold,0.0,Hold
2022-02-22,23.316343307495117,23.988220640476083,22.927572042166187,22.96246167360123,633422000,24.30516662597656,,45.23446505016214,Hold,0.0,Hold
2022-02-23,22.316497802734375,24.07893155363586,22.230770094894353,23.72704258537858,566511000,24.308306789398195,,39.42044057928433,Hold,0.0,Hold
2022-02-24,23.67321395874023,23.72505025027843,20.82421433341637,20.948820693767292,735801000,24.356952953338624,,49.26254698770698,Hold,0.0,Hold
2022-02-25,24.0809268951416,24.14073741705025,23.30737152091748,23.64630098063684,528866000,24.467254734039308,,49.40433985884828,Hold,0.0,Hold
2022-02-28,24.308204650878903,24.58732353254716,23.63234037536328,23.916442673962298,477319000,24.544261169433593,,48.721760013234025,Hold,0.0,Hold
2022-03-01,23.403060913085938,24.300227977678063,23.05914813922005,24.214498384630563,412056000,24.4939697265625,,44.15202868975328,Hold,0.0,Hold
2022-03-02,24.147836685180664,24.336274646536083,23.345236751503386,23.68522035856199,389642000,24.47334098815918,,40.52749261725707,Hold,0.0,Hold
2022-03-03,23.643348693847656,24.253524852561736,23.39907779476586,24.189714450005976,365095000,24.39738302230835,,41.72199486255909,Hold,0.0,Hold
2022-03-04,22.867664337158203,23.609447114971164,22.41501653226553,23.314329501450473,431415000,24.34713716506958,,45.65920188556219,Hold,0.0,Hold
2022-03-07,21.28838539123535,22.964378855624652,21.266451574671656,22.749020877092576,450821000,24.199435806274415,,38.70655628441095,Hold,0.0,Hold
2022-03-08,21.449907302856445,22.30634749936782,20.588480936976687,21.24551809708056,557467000,24.0394248008728,,27.007137202797736,Hold,0.0,Hold
2022-03-09,22.945436477661133,23.150822137347905,22.180721331376475,22.320303633914452,492742000,23.93525037765503,,35.8096187135303,Hold,0.0,Hold
2022-03-10,22.590497970581055,22.72010983636164,21.816808864999828,22.463875524126543,428066000,23.73373031616211,,41.34549473200905,Hold,0.0,Hold
2022-03-11,22.03415870666504,23.076045454723392,21.980318734826213,22.953410808497686,367209000,23.54830436706543,,42.5711297032466,Hold,0.0,Hold
2022-03-14,21.266450881958008,22.195673358229172,21.095960818464658,21.80384458359265,385354000,23.4179479598999,,40.542124101147394,Hold,0.0,Hold
2022-03-15,22.904552459716797,22.969359327340563,21.25847247473295,21.45388764879963,491996000,23.353646564483643,,52.562281448553755,Hold,0.0,Hold
2022-03-16,24.423015594482425,24.523714502325593,23.102960984324504,23.429982841181697,671422000,23.25421905517578,,53.221637994335495,Hold,0.0,Hold
2022-03-17,24.69221305847168,24.767984935801795,23.83477472930563,24.04813783867153,471941000,23.167454051971436,,52.658124793273544,Hold,0.0,Hold
2022-03-18,26.37418556213379,26.489841079768297,24.550636279337244,24.725114127062692,730719000,23.26467227935791,,57.97482527697336,Hold,0.0,Hold
2022-03-21,26.65435218811035,27.07110803621172,25.88963706926117,26.42802919116261,591727000,23.41901264190674,,63.18643634595388,Hold,0.0,Hold
2022-03-22,26.444976806640625,27.156850275284068,25.994323791878227,26.647371123248757,547007000,23.575444316864015,,59.739616565620295,Hold,0.0,Hold
2022-03-23,25.55762481689453,26.53270962394399,25.498800590929083,26.048157589776604,502120000,23.73750066757202,,57.861097673765755,Hold,0.0,Hold
2022-03-24,28.066133499145508,28.23562710130492,25.82981594503605,26.088045093021876,877379000,23.957146644592285,,68.68816455214491,Hold,0.0,Hold
2022-03-25,27.60949325561523,28.27350932502247,27.18974806430795,27.802915490968033,579016000,24.133574962615967,,74.71922289555718,Hold,0.0,Hold
2022-03-28,28.134925842285156,28.165833619637276,27.124943427788132,27.67330593129394,425494000,24.32491102218628,,75.41885309235545,Hold,0.0,Hold
2022-03-29,28.570621490478516,28.85975646589663,27.896634994206327,28.60950485138546,488984000,24.583289051055907,24.922117773691813,73.26400135045913,Hold,0.0,Hold
2022-03-30,27.60750389099121,28.41110233688712,27.421060745065915,28.21967492416321,463487000,24.756272411346437,24.8818071047465,69.75499313099948,Hold,0.0,Hold
2022-03-31,27.20470428466797,28.163838026854247,27.188753110757293,27.699226807551824,523440000,24.93434019088745,24.848589420318604,70.60876421841319,Hold,0.0,Hold
2022-04-01,26.632415771484375,27.414080364707395,26.188741881916695,27.293440575757664,517235000,25.12257776260376,24.833845202128092,71.72611715731784,Hold,0.0,Hold
2022-04-04,27.278484344482425,27.475894378510496,26.533710211634048,26.648367352938315,397120000,25.42208271026611,24.820332272847494,69.25641292628283,Buy,0.0,Buy
2022-04-05,25.853742599487305,27.237607768198263,25.743073244909805,27.17280089255996,436615000,25.642274475097658,24.798541418711345,56.35124583357533,Buy,0.0,Buy
2022-04-06,24.33428001403809,25.224619010193965,23.931484383526115,24.859710266858784,703833000,25.711716651916504,24.748884264628092,48.56982640073335,Buy,0.0,Buy
2022-04-07,24.135875701904297,24.648344247170577,23.40805109513817,24.36818131196346,557992000,25.788985538482667,24.688992182413735,39.85358620421328,Buy,0.0,Buy
2022-04-08,23.050121307373047,23.851726811207488,22.993291917921837,23.84574416968649,524781000,25.839783668518063,24.60798044204712,34.77382585973088,Buy,0.0,Buy
2022-04-11,21.85169982910156,22.253499000395795,21.595465570939584,22.147815823189777,575207000,25.869046115875243,24.53065363566081,32.09205170267542,Buy,0.0,Buy
2022-04-12,21.43992805480957,22.657290726979376,21.21858938714233,22.4698511510868,662258000,25.79581489562988,24.440366554260255,33.32795839177426,Buy,0.0,Buy
2022-04-13,22.136852264404297,22.432968328716512,21.391081501382804,21.663268898797757,516943000,25.681506729125974,24.37895695368449,21.865868843123938,Buy,0.0,Buy
2022-04-14,21.19466209411621,22.70913730080681,21.09994582726885,22.437946450799743,569097000,25.5066291809082,24.315733687082925,20.90270994668012,Buy,0.0,Buy
2022-04-18,21.71809959411621,22.02218926461033,21.016196654972152,21.136836430632233,525701000,25.273824882507324,24.276469548543293,20.88839138841918,Buy,0.0,Buy
2022-04-19,22.13186264038086,22.3063404800413,21.25049567770769,21.655286167385736,512781000,25.04770040512085,24.25699405670166,20.730640641473855,Buy,0.0,Buy
2022-04-20,21.417993545532227,22.602453560138684,21.13683419085272,22.4499095537878,468974000,24.79635124206543,24.225654061635336,21.211303961184115,Buy,0.0,Buy
2022-04-21,20.122865676879883,22.32528363593372,19.940410359200147,21.64431805927398,656209000,24.524613285064696,24.19014024734497,19.585545519496705,Buy,0.0,Buy
2022-04-22,19.456859588623047,20.42496741924135,19.44190488570569,20.242512056651535,624713000,24.094149589538578,24.136083062489828,19.42914480610642,Hold,0.0,Hold
2022-04-25,19.84270477294922,19.8855759292998,19.039106397949094,19.14478957941765,641566000,23.705810165405275,24.10221328735351,17.602120273603845,Hold,0.0,Hold
2022-04-26,18.73202133178711,19.729041835581757,18.61437288191269,19.659250704582643,653143000,23.235664939880373,24.03494571050008,18.097395301546072,Hold,0.0,Hold
