Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-01-03,322.4623718261719,325.59307446526094,317.67480384527,323.0403535774783,28865100
2022-01-04,316.93304443359375,322.89583055126775,314.1491135080895,322.5393874417457,32674300
2022-01-05,304.7666931152344,314.1010061399775,304.3813817326678,313.8986934112964,40054300
2022-01-06,302.3584899902344,307.0015705102463,300.0562050121712,301.65527533473295,39646100
2022-01-07,302.5125427246094,304.88223527940386,298.70752360593445,302.6184908441429,32720000
2022-01-10,302.7341003417969,303.16759397911807,293.50576573261736,298.1295606763108,44289500
2022-01-11,303.4181213378906,304.98826465644487,298.51496217670007,301.8768462438373,29386800
2022-01-12,306.5873718261719,311.53871388357453,305.4410503583259,307.9360060688477,34372200
2022-01-13,293.6116943359375,309.10146222236773,292.8410716956861,308.7065085650938,45366000
2022-01-14,298.81353759765625,299.4107746285059,292.6002852144012,293.0819317744249,39846400
2022-01-18,291.5406494140625,298.42818916600646,290.66404916965183,292.90853854423693,42333200
2022-01-19,292.1956787109375,302.3873360187906,291.58882876082123,295.0470474103309,45933900
2022-01-20,290.5292053222656,300.21028923440434,290.0860987267936,297.72500596711825,35380700
2022-01-21,285.16363525390625,292.9470300221771,284.7590392453866,291.57917037846426,57984400
2022-01-24,285.49114990234375,286.20397733564954,265.9170285250383,281.4742344395524,85731500
2022-01-25,277.9004211425781,284.1618263856482,274.70231034504417,280.81919810306823,72848600
2022-01-26,285.8186950683594,297.17592925056107,282.27378342148563,296.6846403493407,90428900
2022-01-27,288.8337707519531,296.01992832954136,286.9938775868818,291.5502640782282,53481300
2022-01-28,296.9447326660156,297.1566583183815,283.64165765387617,289.2094904507192,49743700
2022-01-31,299.5649108886719,300.91351540352434,295.124114232146,297.6094269927924,46444500
2022-02-01,297.4264221191406,299.2277757254821,293.92966304924204,299.01585004253747,40950400
2022-02-02,301.953857421875,303.5529275513087,297.54198780490606,298.26445765509385,36636000
2022-02-03,290.1920166015625,299.80569133626227,288.9493603987936,298.12954152402045,43730000
2022-02-04,294.70977783203125,297.46478090726094,288.95891910361985,289.19009994983185,35096500
2022-02-07,289.903076171875,296.5401504808717,288.89160075762936,294.931467433284,28533300
2022-02-08,293.3805847167969,294.3438779498826,288.93981702301244,290.19208646707324,32421200
2022-02-09,299.7864685058594,300.4800407856737,296.1067108242928,298.4956591456946,31284700
2022-02-10,291.2806091308594,297.77319603906335,289.6622835734979,292.879679406839,45386200
2022-02-11,284.21002197265625,293.12048369685596,283.4201145266006,292.06085534207085,39175600
2022-02-14,284.1715393066406,285.86694501610634,280.655524445543,282.9866778986781,36359500
2022-02-15,289.44073486328125,289.75860871286204,286.11736126713663,288.99762818292135,27058300
2022-02-16,289.10284423828125,290.42527991431285,283.48487872602993,288.0120675250117,29982100
2022-02-17,280.6372985839844,286.49655572673316,279.93262997944396,286.0718280004565,32461600
2022-02-18,277.9345397949219,283.6586735331754,276.3707826010941,282.8767949362615,34264000
2022-02-22,277.7317810058594,281.4191765053362,274.6235623555302,275.10620482012695,41736100
2022-02-23,270.5404357910156,281.573666522266,270.37635382579157,280.10641436358,37811200
2022-02-24,284.3632507324219,284.913470148122,262.0941229321313,263.04977493259855,56989700
2022-02-25,286.9888916015625,287.29778988293907,281.5253747646306,284.8942395707059,32546700
2022-02-28,288.4174499511719,288.7553055184813,282.82844278237695,284.09296349755033,34627500
2022-03-01,284.7108459472656,289.5565664408294,282.00803005009567,286.1104916374732,31217800
2022-03-02,289.7688903808594,291.0044539337732,283.50420050610404,285.10654759375143,31873000
2022-03-03,285.6471252441406,292.60682123875046,283.84201770674827,292.37516228556973,27314500
2022-03-04,279.7974853515625,285.3961558141852,277.20089590151974,284.07372012763096,32356500
2022-03-07,269.2276611328125,279.63343295977313,268.86084809464484,278.5136987489001,43157200
2022-03-08,266.2738037109375,274.1022488797593,260.626882041736,268.1560912952362,48159500
2022-03-09,278.48468017578125,279.5464994060376,271.03267993001293,273.60034117475794,35204500
2022-03-10,275.67578125,276.65072867385646,270.83969324300017,273.1949913553708,30628000
2022-03-11,270.3473815917969,279.4596745025475,269.72958504143236,277.9634650523489,27209300
2022-03-14,266.8434143066406,275.4923605188957,266.2449422604004,270.6080202895737,30660700
2022-03-15,277.1815490722656,277.82830290735563,269.053866830209,270.61762363193617,34245100
2022-03-16,284.1703186035156,284.34406286615354,273.3687750703698,279.07358456747613,37826300
2022-03-17,284.9714050292969,285.3478508163391,279.32448255840876,283.1084122705425,30816600
2022-03-18,290.0005187988281,290.5507382302181,282.5678431701578,285.1161798417101,43390600
2022-03-21,288.77459716796875,289.7205868535309,284.6624745949612,288.51398088334355,28351200
2022-03-22,293.5044860839844,294.41185612837654,288.3981213802289,289.3923635193199,27599700
2022-03-23,289.0931701660156,292.7033557846491,287.3846264690427,290.0777796338965,25715400
2022-03-24,293.54315185546875,293.6396862396896,287.96380616213776,288.7553468713274,24484500
2022-03-25,293.1377258300781,294.8945515047454,288.9001402281707,294.6339351738191,22566500
2022-03-28,299.9140625,300.01056743386323,293.7651722801995,293.7651722801995,29578200
2022-03-29,304.4605712890625,304.85634170771465,298.3213428484819,303.01264366587003,30393400
2022-03-30,302.9643859863281,304.9818578926393,300.7635370012448,302.8678810369213,28163600
2022-03-31,297.6069641113281,304.19987600855126,297.20156097857216,303.0029027856713,33422100
2022-04-01,298.6784362792969,299.3637802401649,294.933126535701,298.6301543643232,27110500
2022-04-04,304.0357666015625,304.17089116064096,298.9583589270999,299.3251718788428,24289600
2022-04-05,300.0877990722656,303.9392767129868,299.1128518165804,302.3948148545048,23156700
2022-04-06,289.10284423828125,296.3424814061848,286.4096909635366,294.59531799298344,40110400
2022-04-07,290.9078674316406,293.10871553655596,286.0621484743513,286.361384397438,31411200
2022-04-08,286.6606750488281,290.6666017314044,285.99462607140345,290.01021503016705,24361900
2022-04-11,275.3572082519531,282.452029428348,275.10622472559214,281.6605181173394,34569300
2022-04-12,272.268310546875,280.64697807098315,270.75280588328843,279.1990504337595,30966700
2022-04-13,277.6352233886719,278.5618885948695,271.5346160767129,272.914995798149,21907200
2022-04-14,270.1156921386719,278.30131965119733,269.62341681375074,278.08895577007974,28221600
2022-04-18,270.78167724609375,272.654332085389,268.67736348503956,269.22758288237094,20778000
2022-04-19,275.39581298828125,276.2356357266572,268.74501431186735,269.6813419887161,22297700
2022-04-20,276.4189758300781,279.6430533893089,275.4633531849248,279.35345023812204,22906700
2022-04-21,271.06170654296875,283.1181080139608,270.3377427180526,278.5619611641617,29454600
2022-04-22,264.51702880859375,273.36870459899797,263.8895994942571,271.90145264874303,29405800
2022-04-25,270.97479248046875,271.351238292918,261.3701954398088,263.8027323682706,35678900
2022-04-26,260.8392639160156,268.69666699273034,260.6269000783663,267.8665361916543,46518400
2022-04-27,273.3879699707031,280.86892738240044,269.46891592845344,272.30685567741426,63477700
2022-04-28,279.5754089355469,280.8785491561486,271.6890200719624,275.2895425636106,33646600
2022-04-29,267.88580322265625,279.8167376058599,266.9012234193171,278.59080716587056,37073900
