Date,Close,High,Low,Open,Volume,MA20,MA60,RSI
2022-01-03,450.6444396972656,450.7765215542985,447.0031490248722,449.31432242601716,72668200,,,
2022-01-04,450.4934692382813,452.7858147658463,448.63508224842974,452.0688648240115,71178700,,,
2022-01-05,441.843017578125,450.8991165177179,441.7486775164381,450.1255683158479,104538900,,,
2022-01-06,441.4280395507813,444.1448726975174,439.06023879788046,441.3808839040391,86858900,,,
2022-01-07,439.6827697753906,442.6165817047028,438.32435344615055,441.43740286255314,85111600,,,
2022-01-10,439.13568115234375,439.3526316532516,430.7304901894249,436.48488919074714,119362000,,,
2022-01-11,443.1354675292969,443.22980760686403,435.87171338487093,438.87156663562837,74303100,,,
2022-01-12,444.3334655761719,446.38997545502053,442.3713245554861,444.87117806328797,67605400,,,
2022-01-13,438.211181640625,446.0881025089078,437.18294108680465,445.4371934481838,91173100,,,
2022-01-14,438.390380859375,438.7394131797268,433.8434604749311,435.06038106331687,95890900,,,
2022-01-18,430.6265869140625,433.89998789595876,429.5134492124135,433.6924513084869,109709100,,,
2022-01-19,426.15521240234375,433.56987477528105,425.8816348637501,432.17374552013666,109357600,,,
2022-01-20,421.4385681152344,432.7492436968586,419.31604594789405,428.0419704136264,122379700,,,
2022-01-21,413.16546630859375,422.6743531254501,413.137167164053,420.31599511855075,202271200,,,11.147949031222467
2022-01-24,414.9200439453125,415.4294573025682,396.9210694706066,407.5525363125253,251783900,,,14.266684004979268
2022-01-25,409.854248046875,414.8067989622443,402.9489701470522,408.52413091783615,167997300,,,12.98953886517252
2022-01-26,408.8260498046875,418.8820910132849,404.56212043743244,415.7501849161173,186391100,,,15.083645630146762
2022-01-27,406.8072509765625,416.570857381139,405.1186876310889,413.42953766606337,149878300,,,14.588769830468678
2022-01-28,416.9104919433594,416.95764758264465,403.5810494178644,408.16568303658295,164457400,,,30.108727292501698
2022-01-31,424.41949462890625,424.76852696731544,414.89172362734763,416.2406973417306,152251400,430.0210662841797,,38.5394732464125
2022-02-01,427.2872619628906,427.9287283515847,421.6177608084225,425.14585473478627,123155400,428.85320739746095,,37.43637310232173
2022-02-02,431.4380187988281,432.16438269982757,427.38162576079867,429.69282811901024,117361000,427.90043487548826,,40.23435261142634
2022-02-03,421.2970581054687,427.3061493870198,420.45746888036115,425.4006065808514,118024400,426.87313690185545,,37.92593683447366
2022-02-04,423.278076171875,427.12690349554987,418.68397092224063,421.0612140470099,118454400,425.9656387329102,,39.482707208933085
2022-02-07,421.9196166992187,425.4382678088837,420.58949956003295,424.04213853628335,84472900,425.0774810791016,,43.34733305725614
2022-02-08,425.3910827636719,426.31556924155666,419.9951598038307,421.4196169061176,81012000,424.39025115966797,,49.40709796487247
2022-02-09,431.61724853515625,431.9379817631401,429.2305914308077,429.4286854386847,92589900,423.81434020996096,,57.71704842188456
2022-02-10,423.8629455566406,431.7775795121979,421.86306271080866,425.7684883309894,140103700,422.7908142089844,,58.174687165786594
2022-02-11,415.50494384765625,426.0232149227556,414.0710725267029,423.947877125735,153214600,421.65550231933594,,50.4059891340819
2022-02-14,414.146484375,416.5803257355876,410.67498861776903,414.9955162101405,123006300,420.4433074951172,,53.14097026878065
2022-02-15,420.8254089355469,420.99520380296383,418.0708341137334,418.58969014890727,88482700,419.95324859619143,,58.110160146760265
2022-02-16,421.2970581054687,422.6743310487677,416.90107555558865,418.7783192186944,84863600,419.71034088134763,,60.00260386821892
2022-02-17,412.2975158691406,421.2687175900961,411.6937912802445,418.10851257856154,102259100,419.25328826904297,,46.76629474428233
2022-02-18,409.6278076171875,413.8068098547772,407.354347719248,412.5521476462196,132642900,419.07640533447267,,38.87628680486834
2022-02-22,405.23193359375,410.8259516984403,401.7321096953835,407.4204966635997,124391800,418.59199981689454,,33.78649227697453
2022-02-23,398.0436096191406,408.71281716213616,397.47759803405336,408.14680557704895,132578000,418.0014678955078,,26.50030494876006
2022-02-24,404.0338745117187,404.4678331044579,387.3744592030102,387.7329054308326,213942900,417.76185913085936,,37.09818679438932
2022-02-25,412.9484558105469,413.0333532377554,403.6187784215898,405.2696289017005,121804500,418.0689193725586,,43.00499824546828
2022-02-28,411.8919067382813,413.37296233027865,406.29788900505855,407.5525226744369,145615000,417.8179901123047,,43.18156540043068
2022-03-01,405.61871337890625,412.4013531876371,402.9112942533806,410.39202759579075,137785900,416.87795104980466,,37.049040862921515
2022-03-02,413.0805358886719,414.8068411449072,407.1186004140651,407.8732634005898,117726500,416.16761474609376,,38.05180708719189
2022-03-03,411.02398681640625,416.11803346129733,409.22219816012046,415.5143088873288,105501700,415.1469131469727,,41.068357033886166
2022-03-04,407.68463134765625,408.81662588103086,403.63768107861074,407.2884145484183,113978200,414.466291809082,,44.15127050830374
