Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2022-01-03,143.71713256835938,144.56907529374837,142.44986625187568,143.78006634339744,28646000
2022-01-04,143.1303253173828,145.1974901309125,142.45332978624396,144.1180572750369,28400000
2022-01-05,136.5640411376953,143.22943968889484,136.4778153700128,143.1506401362504,54618000
2022-01-06,136.53680419921875,138.71003866950787,135.3582591822802,135.79439434447366,37348000
2022-01-07,135.8126983642578,137.23161957664905,134.57318602487607,136.93127381706194,29760000
2022-01-10,137.45069885253906,137.59938954533916,131.9940937569273,133.89077354018556,44408000
2022-01-11,138.5078125,138.9836045313537,135.49107504085617,136.7940204323314,28730000
2022-01-12,140.1874237060547,141.35457977142337,139.45790011942026,139.9093868006954,26108000
2022-01-13,137.3689422607422,141.59447455601426,137.1924977773982,140.2959756507741,31436000
2022-01-14,138.25454711914062,139.5049643525977,135.79436777383097,135.8741504250452,29662000
2022-01-18,134.8026580810547,135.92619443094736,134.24808168822284,134.97810429036687,34872000
2022-01-19,133.92892456054688,136.74693894623502,133.82881433443535,135.3235557494751,28648000
2022-01-20,132.13583374023438,136.41638959519287,131.79584612438092,135.05247646638676,29908000
2022-01-21,129.205810546875,133.6801282847316,128.943140301046,131.42810942176132,55652000
2022-01-24,129.6543426513672,130.04983783070446,123.40574871292903,124.87075517822278,76622000
2022-01-25,125.81932830810547,128.26167595997225,125.38865318603597,127.60847149388137,46960000
2022-01-26,128.0971221923828,131.8310108586025,126.0244974232128,129.96654697196033,49130000
2022-01-27,127.87113189697266,131.4865641925573,127.7992594466559,130.14992113768704,31950000
2022-01-28,132.17892456054688,132.18438456774498,127.35569637367115,128.51937364185733,34362000
2022-01-31,134.1142578125,134.2822778063018,131.04745809126456,132.98279614031355,39986000
2022-02-01,136.43421936035156,136.58191182952572,133.18751085954932,136.38515490873857,68644000
2022-02-02,146.69918823242188,150.21451067811546,144.24347030048295,149.92062310914736,123200000
2022-02-03,141.8323211669922,148.3594496248234,141.41155275115443,144.4248414458833,71518000
2022-02-04,142.03353881835938,143.60163470292892,139.27995591119637,142.18371170014618,57998000
2022-02-07,137.97750854492188,142.98212679238782,137.67914411624972,142.98212679238782,54974000
2022-02-08,138.1737823486328,138.76949792204235,135.80975027534387,137.80455878303823,54284000
2022-02-09,140.34750366210938,141.27181794404441,138.95485380934457,139.72453341095786,40144000
2022-02-10,137.40162658691406,140.24095165966446,136.744459438641,138.475614665895,39330000
