date,asset,ticker,close
2020-01-02,D05_SI,D05.SI,16.878067016601562
2020-01-03,D05_SI,D05.SI,16.806961059570312
2020-01-06,D05_SI,D05.SI,16.716459274291992
2020-01-07,D05_SI,D05.SI,16.839277267456055
2020-01-08,D05_SI,D05.SI,16.63242530822754
2020-01-09,D05_SI,D05.SI,16.716459274291992
2020-01-10,D05_SI,D05.SI,16.806961059570312
2020-01-13,D05_SI,D05.SI,16.87160301208496
2020-01-14,D05_SI,D05.SI,16.968563079833984
2020-01-15,D05_SI,D05.SI,16.85866928100586
2020-01-16,D05_SI,D05.SI,17.02027702331543
2020-01-17,D05_SI,D05.SI,17.033205032348633
2020-01-20,D05_SI,D05.SI,17.052597045898438
2020-01-21,D05_SI,D05.SI,17.000886917114258
2020-01-22,D05_SI,D05.SI,17.065528869628906
2020-01-23,D05_SI,D05.SI,16.968563079833984
2020-01-24,D05_SI,D05.SI,16.93624496459961
2020-01-28,D05_SI,D05.SI,16.709997177124023
2020-01-29,D05_SI,D05.SI,16.697067260742188
2020-01-30,D05_SI,D05.SI,16.606569290161133
2020-01-31,D05_SI,D05.SI,16.39971351623535
2020-02-03,D05_SI,D05.SI,16.09589385986328
2020-02-04,D05_SI,D05.SI,16.25749969482422
2020-02-05,D05_SI,D05.SI,16.451425552368164
2020-02-06,D05_SI,D05.SI,16.6130313873291
2020-02-07,D05_SI,D05.SI,16.360929489135742
2020-02-10,D05_SI,D05.SI,16.231645584106445
2020-02-11,D05_SI,D05.SI,16.21871566772461
2020-02-12,D05_SI,D05.SI,16.432037353515625
2020-02-13,D05_SI,D05.SI,16.432037353515625
2020-02-14,D05_SI,D05.SI,16.516069412231445
2020-02-17,D05_SI,D05.SI,16.4708194732666
2020-02-18,D05_SI,D05.SI,16.335071563720703
2020-02-19,D05_SI,D05.SI,16.360929489135742
2020-02-20,D05_SI,D05.SI,16.22517967224121
2020-02-21,D05_SI,D05.SI,16.212249755859375
2020-02-24,D05_SI,D05.SI,16.063573837280273
2020-02-25,D05_SI,D05.SI,16.11528778076172
2020-02-26,D05_SI,D05.SI,15.940749168395996
2020-02-27,D05_SI,D05.SI,16.044178009033203
2020-02-28,D05_SI,D05.SI,15.585222244262695
2020-03-02,D05_SI,D05.SI,15.546436309814453
2020-03-03,D05_SI,D05.SI,15.617545127868652
2020-03-04,D05_SI,D05.SI,15.455938339233398
2020-03-05,D05_SI,D05.SI,15.255546569824219
2020-03-06,D05_SI,D05.SI,14.867692947387695
2020-03-09,D05_SI,D05.SI,13.671812057495117
2020-03-10,D05_SI,D05.SI,13.8916015625
2020-03-11,D05_SI,D05.SI,13.581315040588379
2020-03-12,D05_SI,D05.SI,13.057714462280273
2020-03-13,D05_SI,D05.SI,12.508255004882812
2020-03-16,D05_SI,D05.SI,12.01051139831543
2020-03-17,D05_SI,D05.SI,11.635586738586426
2020-03-18,D05_SI,D05.SI,11.635586738586426
2020-03-19,D05_SI,D05.SI,11.247733116149902
2020-03-20,D05_SI,D05.SI,11.739013671875
2020-03-23,D05_SI,D05.SI,10.911595344543457
2020-03-24,D05_SI,D05.SI,11.771334648132324
2020-03-25,D05_SI,D05.SI,12.553502082824707
2020-03-26,D05_SI,D05.SI,12.320795059204102
2020-03-27,D05_SI,D05.SI,12.372506141662598
2020-03-30,D05_SI,D05.SI,11.829510688781738
2020-03-31,D05_SI,D05.SI,12.004047393798828
2020-04-01,D05_SI,D05.SI,11.732549667358398
