target,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.4119980234116982,0.1974197082725027,1.2161773882522706,-0.21389409675703752,1.9261776255549825,-0.018091454579353874,-0.027380177291461454
5D_0pct,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.03462831262763921,0.04616042688987509,0.5003920631272472,-0.02832150779128284,1.222686054811586,-0.002671639814909108,-0.004816378399524116
5D_1pct,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.22687710499464964,0.11793685442746275,1.1819599756701888,-0.1230976640143211,1.8430658844042314,-0.01115210255940072,-0.01558071080864484
10D_1pct,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.17280982996089844,0.16332538989669926,0.7210761025070389,-0.17985799576544348,0.9608126078879657,-0.014075664244210181,-0.02099324343636094
10D_2pct,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.1790633833379729,0.15877332686384482,0.7592213231236591,-0.17231837293704566,1.039142723355399,-0.014076107147538102,-0.02159411899787681
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.6222598361260792,0.20575209880470186,1.607408426875281,-0.22173132398430118,2.8063686489786885,-0.01923070982434377,-0.02967607829445266
5D_0pct,Robust Assets,"D05_SI,NVDA,SPY",0.020145223661475198,0.047557453105604955,0.2952492645135418,-0.04245004187988366,0.47456310451890676,-0.004148987109344726,-0.006639464151911319
5D_1pct,Robust Assets,"D05_SI,NVDA,SPY",0.3817252791492376,0.0956623702687351,2.238130639736964,-0.10765855627050391,3.5457031226585563,-0.007147311523426121,-0.012977085591558853
10D_1pct,Robust Assets,"D05_SI,NVDA,SPY",0.2871268567780383,0.1975875973170813,0.9368309562663533,-0.21995716544204047,1.3053762363276922,-0.01809039531957728,-0.02798037824858605
10D_2pct,Robust Assets,"D05_SI,NVDA,SPY",0.29715718039529726,0.19481035724661938,0.9735404602624549,-0.21543805650273118,1.3793161023597058,-0.017661593855100792,-0.027170123191829654
