asset,model,selected_threshold,selected_filter,validation_calmar,validation_return,test_accuracy,test_precision,test_recall,test_return,benchmark_return,excess_return,test_volatility,test_sharpe,benchmark_sharpe,test_mdd,benchmark_mdd,test_calmar,benchmark_calmar,market_exposure,total_turnover,cost_drag
NVDA,RandomForest,0.4,NO_FILTER,4.327203433411929,0.9011865457630959,0.5066666666666667,0.4868421052631579,0.4088397790055249,-0.06612131711605562,0.4529823717321415,-0.5191036888481971,0.4248473648428717,0.10461835116324532,0.7759152181044816,-0.4602067368926336,-0.3688103758053045,-0.14367742107061277,1.2282256721846445,0.8133333333333334,63.0,0.063
NVDA,ExtraTrees,0.55,NO_FILTER,10.133754851628956,0.2213624896919928,0.496,0.47333333333333333,0.39226519337016574,0.21999316762759813,0.4529823717321415,-0.23298920410454338,0.13018382193676856,1.0898624303456905,0.7759152181044816,-0.06504244995479758,-0.3688103758053045,3.3823013705739307,1.2282256721846445,0.050666666666666665,26.0,0.026000000000000002
NVDA,GradientBoosting,0.4,NO_FILTER,4.818989000961754,0.9803604437620712,0.5226666666666666,0.5064935064935064,0.430939226519337,0.29556317574730007,0.4529823717321415,-0.15741919598484144,0.3534538411953447,0.6659964352791787,0.7759152181044816,-0.4194765130959869,-0.3688103758053045,0.704600058691886,1.2282256721846445,0.6106666666666667,83.0,0.08299999999999999
NVDA,HistGradientBoosting,0.5,NO_FILTER,3.7150190860150603,0.5178877036804739,0.536,0.5244755244755245,0.4143646408839779,0.07710591941523814,0.4529823717321415,-0.37587645231690336,0.25683169668158423,0.3219279904946392,0.7759152181044816,-0.21488132744657362,-0.3688103758053045,0.35883024519386936,1.2282256721846445,0.38133333333333336,85.0,0.085
NVDA,LogisticRegression,0.4,NO_FILTER,6.481145802060715,1.426031854510291,0.44266666666666665,0.43805309734513276,0.5469613259668509,0.3272177768582234,0.4529823717321415,-0.1257645948739181,0.44421458470518405,0.6509513907664188,0.7759152181044816,-0.39494637771103136,-0.3688103758053045,0.8285119077548228,1.2282256721846445,0.9546666666666667,13.0,0.013000000000000001
QQQ,RandomForest,0.45,NO_FILTER,7.757535857233369,0.4427203878212851,0.45066666666666666,0.4020100502512563,0.47904191616766467,0.22360826259165845,0.40427045878113943,-0.18066219618948098,0.1935500473944444,0.7961706559493632,1.1120175094826126,-0.2070045500579798,-0.22768308447040142,1.0802094085807685,1.775584074335106,0.696,67.0,0.067
QQQ,ExtraTrees,0.5,NO_FILTER,5.542049525591716,0.29253156359090404,0.456,0.4088669950738916,0.49700598802395207,0.10866077142798813,0.40427045878113943,-0.2956096873531513,0.17394433272820728,0.48381909691975666,1.1120175094826126,-0.14764240740470502,-0.22768308447040142,0.7359726337307432,1.775584074335106,0.5413333333333333,58.0,0.05800000000000001
QQQ,GradientBoosting,0.4,NO_FILTER,2.8280766600593616,0.24193669088761838,0.5706666666666667,0.5375,0.25748502994011974,0.23138768488513728,0.40427045878113943,-0.17288277389600215,0.17956346934167433,0.8672765000878663,1.1120175094826126,-0.157234997593919,-0.22768308447040142,1.471604212967445,1.775584074335106,0.5973333333333334,120.0,0.12
QQQ,HistGradientBoosting,0.5,MA100,3.858775888698344,0.13931703776704452,0.49333333333333335,0.4217687074829932,0.3712574850299401,-0.11102650247891,0.40427045878113943,-0.5152969612600494,0.08251099857497361,-0.9169033857347322,1.1120175094826126,-0.15933022507233507,-0.22768308447040142,-0.6968326469664156,1.775584074335106,0.26666666666666666,82.0,0.082
QQQ,LogisticRegression,0.45,NO_FILTER,5.324764869993629,0.37849954432579747,0.456,0.4079601990049751,0.49101796407185627,0.22207860989675487,0.40427045878113943,-0.18219184888438456,0.19518167042151682,0.7868030186378681,1.1120175094826126,-0.22768308447040186,-0.22768308447040142,0.9753847564623294,1.775584074335106,0.7173333333333334,14.0,0.014000000000000002
SPY,RandomForest,0.6,MA100,26.773704295875753,0.026773704295875778,0.512,0.3969849246231156,0.5563380281690141,-0.0038759560235411827,0.2925378183910081,-0.2964137744145493,0.015109222913068708,-0.1651466909756353,1.0544383591773796,-0.01711398019050736,-0.18755226260622637,-0.22647893595734472,1.5597669381638077,0.013333333333333334,8.0,0.008
SPY,ExtraTrees,0.4,NO_FILTER,3.8643961541149605,0.2780820338771903,0.5386666666666666,0.4,0.43661971830985913,0.2656210949014195,0.2925378183910081,-0.026916723489588623,0.17699208765286167,0.9821187375317517,1.0544383591773796,-0.1875522626062267,-0.18755226260622637,1.4162510822868681,1.5597669381638077,0.9146666666666666,15.0,0.015000000000000001
SPY,GradientBoosting,0.5,NO_FILTER,6.887769908484273,0.06784398375753709,0.6213333333333333,0.5,0.19014084507042253,0.01402154411015033,0.2925378183910081,-0.2785162742808578,0.07715374774762025,0.15989395159886202,1.0544383591773796,-0.06425932762868458,-0.18755226260622637,0.21820247157225597,1.5597669381638077,0.144,52.0,0.052000000000000005
SPY,HistGradientBoosting,0.55,NO_FILTER,1.8584659496482583,0.05733530305413814,0.5706666666666667,0.4020618556701031,0.2746478873239437,0.003871661477789834,0.2925378183910081,-0.2886661569132183,0.07435139991660944,0.07198517641630968,1.0544383591773796,-0.08024895835713997,-0.18755226260622637,0.04824562906548134,1.5597669381638077,0.17866666666666667,79.0,0.07900000000000001
SPY,LogisticRegression,0.55,NO_FILTER,3.281513257740507,0.07287489251501511,0.5173333333333333,0.38323353293413176,0.4507042253521127,0.014805050633140526,0.2925378183910081,-0.2777327677578676,0.14369999640380707,0.13931138791595907,1.0544383591773796,-0.1499745019473545,-0.18755226260622637,0.09871711818277974,1.5597669381638077,0.25066666666666665,42.0,0.042
