Date,Ticker,Close,return_1d,return_5d,return_20d,ma20_ma60_ratio,close_ma20_ratio,close_ma60_ratio,volatility_5d,volatility_20d,rsi,forward_return_5d,target,predicted_target,predicted_probability,daily_return,position,ml_strategy_return,benchmark_return,ml_cumulative_return,benchmark_cumulative_return
2024-01-03,D05_SI,25.86537170410156,-0.0108174057104127,0.0319748574109004,0.0384858170749533,-0.0132716145027435,0.0316676314765991,0.0179757363766832,0.0133457152696027,0.0102465322875218,65.66116887147336,-0.0124544056944875,0,0,0.4709553571674577,-0.010817405710412786,0,-0.0,-0.010817405710412786,1.0,0.9891825942895872
2024-01-04,D05_SI,25.723947525024418,-0.0054677033330519,0.012368503069813,0.0413485440238088,-0.0110811848665558,0.0239410025646438,0.0125945230227786,0.0134523763057588,0.0101215880705326,60.84907577843879,-0.0006109697090265,0,0,0.476537774465519,-0.00546770333305191,0,-0.0,-0.00546770333305191,1.0,0.9837740373217931
2024-01-05,D05_SI,25.84966087341309,0.0048870162041179,-0.0042370742527644,0.0451081713149661,-0.0085896642740268,0.0266652803731328,0.017846570292928,0.0087749562274382,0.010138731403539,68.84421681448589,-0.0088146488067626,0,1,0.5183979013037362,0.004887016204117911,1,0.0,0.004887016204117911,1.0,0.9885817569833752
2024-01-08,D05_SI,25.810373306274418,-0.0015198484549203,-0.0167614720688512,0.0535600837611811,-0.0058105266735085,0.0224407563600665,0.0164998370731541,0.0057388305017261,0.009801200012197,74.25472454050623,-0.0051750401213592,0,1,0.5401231852951875,-0.0015198484549203695,1,-0.0015198484549203695,-0.0015198484549203695,0.9984801515450796,0.9870792625274616
2024-01-09,D05_SI,25.826086044311523,0.0006087760859037,-0.0123198272226202,0.0401898264981199,-0.0035177341618478,0.021045194779184,0.0174534292167185,0.0059827337280833,0.009470788969133,70.94796841639527,-0.0161239327882299,0,1,0.5411883850624474,0.0006087760859037061,1,0.0006087760859037061,0.0006087760859037061,0.9990880023835897,0.9876801727773797
2024-01-10,D05_SI,25.54323387145996,-0.0109521888979327,-0.0124544056944875,0.0356801254446415,-0.0013869497956272,0.0081088750066353,0.0067106786084749,0.0060299114024666,0.009723636442208,62.24784264891585,-0.0209167241574098,0,1,0.5242016333881474,-0.010952188897932702,1,-0.010952188897932702,-0.010952188897932702,0.9881458018558265,0.9768629129543791
2024-01-11,D05_SI,25.70823097229004,0.0064595227707027,-0.0006109697090265,0.0364267179913255,0.0005155054747589,0.012814912217552,0.0133370238497176,0.0068590442250322,0.0097404164919384,66.76057821247582,-0.0247554682759237,0,1,0.5124548946491148,0.006459522770702719,1,0.006459522770702719,0.006459522770702719,0.9945287521636884,0.983172981184463
2024-01-12,D05_SI,25.62180519104004,-0.0033617941795822,-0.0088146488067626,0.0248271712913006,0.0019229007150576,0.0081773546107619,0.0101159795668479,0.0063303074810309,0.0096961263845306,63.352296434022165,-0.0171726702600012,0,1,0.5204028223778017,-0.003361794179582267,1,-0.003361794179582267,-0.003361794179582267,0.9911853511932374,0.9798677559787945
2024-01-15,D05_SI,25.676803588867188,0.0021465465613008,-0.0051750401213592,0.0407642536036993,0.004002469868277,0.0083463067089277,0.0123821824183187,0.0065718255773296,0.0090782384127979,60.42947160858619,-0.0238677793261645,0,0,0.4755298768836825,0.002146546561300866,0,0.002146546561300866,0.002146546561300866,0.993312976700453,0.9819710877409203
2024-01-16,D05_SI,25.40966796875,-0.0104037723851659,-0.0161239327882299,0.0412107195906432,0.0061669299639148,-0.0041109180011105,0.002030660219404,0.0076469992836174,0.009047026866417,56.28578503213762,-0.0163885499337035,0,0,0.4793450374889763,-0.010403772385165988,0,-0.0,-0.010403772385165988,0.993312976700453,0.9717548840552499
