asset,ticker,train_period,test_period,threshold,accuracy_at_050,precision_at_050,recall_at_050,market_exposure,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_volatility,benchmark_volatility,strategy_mdd,benchmark_mdd
D05_SI,D05.SI,2022-2024,2025-2026,0.4,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.8936170212765957,0.4285961061911645,0.632961171278448,-0.20436506508728347,1.450029869803641,1.8968795999740191,0.1755976359565496,0.18213591976444163,-0.1961399394528257,-0.192583015894633
MSFT,MSFT,2022-2024,2025-2026,0.5,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.517426273458445,-0.00013645125907268962,-0.10451936755638447,0.10438291629731178,0.10015586045765493,-0.12820171403938505,0.20399226537202045,0.27905413951335406,-0.20639731400811612,-0.34498391627511604
NVDA,NVDA,2022-2024,2025-2026,0.55,0.46648793565683644,0.45535714285714285,0.5698324022346368,0.3163538873994638,0.5468733376081685,0.4904724931850586,0.056400844423109886,1.2356787633597397,0.8155952564574709,0.26593473580170296,0.4612536391979802,-0.1007168098790776,-0.36881026403302364
QQQ,QQQ,2022-2024,2025-2026,0.55,0.4289544235924933,0.4024896265560166,0.5843373493975904,0.40214477211796246,0.36199828363804376,0.4511714473330255,-0.08917316369498174,1.4879459717472951,1.2158196947708488,0.14738495923031722,0.22821177864165862,-0.05703827297015862,-0.2276829964487821
SPY,SPY,2022-2024,2025-2026,0.4,0.40214477211796246,0.3153153153153153,0.49645390070921985,0.806970509383378,0.15446935898068226,0.295991234559428,-0.14152187557874574,0.6520298145251494,1.0674154706441885,0.1710174416393225,0.17899658616298553,-0.18755234489427297,-0.1875523448942732
