Date,equal_weight_ml_net,equal_weight_buy_hold,inverse_vol_ml_net,inverse_vol_buy_hold
2025-04-01,-0.0025823263186255754,0.0038030057341785772,-0.003612041287279429,-0.0006805018039636971
2025-04-02,-0.0005059941470053989,0.002420503908387809,-0.0007063759927413607,0.002267359419132564
2025-04-03,-0.003764894085664827,-0.04621363935874223,-0.005590356555298103,-0.03368488847390081
2025-04-04,-0.016256595692345943,-0.0602961396856766,-0.023489754549167647,-0.0557639716052296
2025-04-07,-0.0003333333333333333,-0.01552187487429224,-0.000412501330979667,-0.028726287512500816
2025-04-08,0.0,-0.020657773652537587,0.0,-0.022229376592879845
2025-04-09,0.0,0.09004717152357526,0.0,0.056903820614149864
2025-04-10,0.0,-0.011800147413127146,0.0,0.003452250350760088
2025-04-11,0.0,0.003419379826137159,0.0,-0.004780243965126144
2025-04-14,0.0,0.008517273159294033,0.0,0.011328647891623486
2025-04-15,0.0,0.013429731557549562,0.0,0.013861252584242506
2025-04-16,0.0,-0.02914700849550711,0.0,-0.01876725754524099
2025-04-17,0.0,-0.003026568330635452,0.0,0.0036297055474405282
2025-04-21,0.0,-0.018160011334129145,0.0,-0.010889172215847513
2025-04-22,0.0,0.01894354072029884,0.0,0.018319033844933746
2025-04-23,0.0,0.026245321250579916,0.0,0.0235727578930004
2025-04-24,0.0,0.014891345553334379,0.0,0.00970696608428857
2025-04-25,0.0,0.016831523774776924,0.0,0.010980646560122716
2025-04-28,0.0,-0.007112677714146032,0.0,-0.004189510551217196
2025-04-29,0.0,0.0012552177193316434,0.0,0.0007451572673291273
2025-04-30,0.0,0.0027574297716676708,0.0,0.00370364844853119
2025-05-02,0.0,0.015542445093107945,0.0,0.013146003027745694
2025-05-05,0.0,-0.0024858922656939564,0.0,-0.0015668137549827677
2025-05-06,0.0,-0.0027510277871096354,0.0,-0.002620707235307602
2025-05-07,0.0,0.009952512129422312,0.0,0.005251369711877625
2025-05-08,0.0,0.005777858772284465,0.0,0.006466948711273891
2025-05-09,0.0,0.002326593393341033,0.0,0.004437286729773934
2025-05-13,0.0036321745982929032,0.024947311442372538,0.004658928146637916,0.018236472540165853
2025-05-14,0.0136966387268365,0.01445592920514042,0.007803163709252268,0.008481889554194324
2025-05-15,0.00514694286119007,0.0067750027943570545,0.0074835935836053405,0.009367483370322805
2025-05-16,0.001075859211450629,0.005399565875689201,0.0003680616515227702,0.005640970026269806
2025-05-19,0.00041849443302455214,-0.0014590422866063897,0.0002363011124773582,-0.0022098600954233603
2025-05-20,-0.002657263596155257,-0.003444648154894203,-0.0013136060281697345,-0.0021822779603655126
2025-05-21,-0.008277479983850977,-0.013894439899562109,-0.006040486503817441,-0.012510811327121722
2025-05-22,-8.190613474967576e-05,0.0031897106551084242,0.0001584469936385068,0.002216638345636312
2025-05-23,-0.00023855711423955336,-0.004103158860560637,-1.6681169941117763e-05,-0.0022765473677009733
2025-05-27,0.008812050638682031,0.01950083538359711,0.01030660777530195,0.016578469258785675
2025-05-28,0.004307777988074061,0.0010153242064299128,0.0054491094159219685,0.0026051643518641455
2025-05-29,-0.00019879370454297263,0.010964594377966338,-0.00036846348684003863,0.006530672721798614
2025-05-30,-0.0023733504215847447,-0.012096253548811017,-0.0029443923889887003,-0.00877127487106789
2025-06-02,0.0029212345974709564,0.008471435260975602,0.0034495653365976017,0.006816519147790142
2025-06-03,0.0014550407910267256,0.010772227415276872,0.0016117495213582638,0.007256129496366347
2025-06-04,0.0012291570936873537,0.003125276601003183,0.0015582256573792102,0.002846333620236427
2025-06-05,-0.001870177841311752,-0.006069890316568978,-0.0021413339944319244,-0.004520891379736962
2025-06-06,0.004163443690993122,0.00828272817423296,0.004829915092097692,0.0073796360373140895
2025-06-09,0.003033848659599029,0.005174265842254296,0.0037749323415577434,0.005082223514656885
2025-06-10,-0.0006014520854333479,0.002506810931929541,-0.000966767664595399,0.0009479375401855376
2025-06-11,-0.0030179569715280685,-0.0056114809539120625,-0.00366031874421391,-0.005259505462835114
2025-06-12,-0.00016095040021442872,0.0049033636096213655,-0.0003465307816173887,0.0027929638426614552
2025-06-13,-0.001974979081463934,-0.012333915498815684,-0.002423652248686425,-0.010587690354890683
2025-06-16,0.0006633779924914615,0.007383062781656273,0.0004975114619698087,0.004820684379388585
2025-06-17,-0.0005839035521585009,-0.0018970799962412244,-0.00039340889972606626,-0.001205728804457944
2025-06-18,-0.0017746625816763562,0.0013708592977272893,-0.0022053214046189734,-0.0002567600361224431
2025-06-20,-0.0011161580843948025,-0.004896971129226861,-0.0013037868056705376,-0.003674198425463323
2025-06-23,0.0032924952465291923,0.0038821048496598585,0.003718393967558907,0.00399629602342769
