model,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.36496923378800816,0.19865167496076588,1.1161924482810923,-0.21389405605453493,1.706308443161949,-0.018198026008835497,-0.02738017213724761
RandomForest,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.09738622236194261,0.1509828140401175,0.47481888309623244,-0.20736750533571047,0.4696310649264095,-0.013672116425233945,-0.021264104532087227
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.5390821439956182,0.2066033761473741,1.4591552753575694,-0.22173121867915102,2.4312415148706665,-0.01947618152360553,-0.02967606930340399
RandomForest,Robust Assets,"D05_SI,NVDA,SPY",0.13480826716281524,0.14761679451751147,0.6303977047249463,-0.21995573644717725,0.6128881625926118,-0.01402695230912439,-0.022616475854109606
