Date,D05_SI,NVDA,SPY
2025-04-01,0.46625159405388544,0.10542312693649177,0.4283252790096228
2025-04-02,0.4653387112096533,0.105687357435086,0.4289739313552606
2025-04-03,0.4949547431346421,0.11136242141898972,0.3936828354463681
2025-04-04,0.48164562441215325,0.1282675449233641,0.39008683066448274
2025-04-07,0.412501330979667,0.14448112718941147,0.44301754183092157
2025-04-08,0.404814637068343,0.14670214800886058,0.44848321492279636
2025-04-09,0.4752852245174822,0.14968012581838952,0.37503464966412825
2025-04-10,0.44659668390501484,0.16094991359784389,0.3924534024971414
2025-04-11,0.43790602568947556,0.16352169047312684,0.39857228383739757
2025-04-14,0.4363086648286338,0.16439743706931848,0.3992938981020478
2025-04-15,0.4304581769045216,0.16614024886799483,0.4034015742274835
2025-04-16,0.4323164884497284,0.16484514015289223,0.40283837139737927
2025-04-17,0.42979162982774344,0.1661697377602974,0.40403863241195925
2025-04-21,0.43031262916546703,0.16633976232566816,0.4033476085088648
2025-04-22,0.43250566082653547,0.16754470796953,0.3999496312039347
2025-04-23,0.4232178410218602,0.1823824846304055,0.3943996743477343
2025-04-24,0.42165652381627966,0.18745005052922176,0.3908934256544986
2025-04-25,0.4220195545183253,0.18724680057795678,0.3907336449037179
2025-04-28,0.4220387342880963,0.18697958310044638,0.3909816826114572
2025-04-29,0.42384997593985696,0.18717329723245715,0.38897672682768597
2025-04-30,0.4232427413034517,0.18772858413326526,0.3890286745632831
2025-05-02,0.42317176581730026,0.1892606693389715,0.38756756484372823
2025-05-05,0.42275715704660355,0.18996028490626476,0.3872825580471317
2025-05-06,0.4226439822648894,0.1900268892406655,0.38732912849444506
2025-05-07,0.4228234263013584,0.18980821912936124,0.3873683545692803
2025-05-08,0.4240434391812069,0.18955068975828962,0.38640587106050345
2025-05-09,0.42354154913611564,0.18976263161586773,0.38669581924801655
2025-05-13,0.4275609574520986,0.18838097086773659,0.3840580716801647
2025-05-14,0.428144064653392,0.18725393539873894,0.38460199994786903
2025-05-15,0.42643713257206767,0.1878502474891758,0.38571261993875655
2025-05-16,0.42642321949079276,0.1879291026042535,0.38564767790495386
2025-05-19,0.42634283325384525,0.18821525754401527,0.38544190920213933
2025-05-20,0.4261170960838281,0.18877587045762764,0.3851070334585443
2025-05-21,0.42655825432166383,0.18946625476042228,0.383975490917914
2025-05-22,0.42687423230541677,0.19003122440898612,0.3830945432855971
2025-05-23,0.42352082738692287,0.1949201449550949,0.38155902765798216
2025-05-27,0.42374027992053975,0.19559010162396007,0.3806696184555002
2025-05-28,0.41862627558945725,0.2018096991019849,0.3795640253085579
2025-05-29,0.4197130508140599,0.20066104481969352,0.3796259043662466
2025-05-30,0.419683859543324,0.19976483723819188,0.38055130321848407
2025-06-02,0.41736417837887335,0.2022121370212763,0.3804236845998504
2025-06-03,0.41750977893061225,0.20193434644449684,0.3805558746248909
2025-06-04,0.4140357314140905,0.20340932562804537,0.3825549429578642
2025-06-05,0.4139715952506586,0.20313431564931136,0.38289408910003003
2025-06-06,0.4125840902421741,0.2063239344592056,0.38109197529862027
2025-06-09,0.41884451116769944,0.20358822004306626,0.37756726878923436
2025-06-10,0.41634059910173593,0.20533496190480152,0.3783244389934626
2025-06-11,0.4162888586896248,0.20553588212837923,0.3781752591819959
2025-06-12,0.41506119256328533,0.20664165098381798,0.37829715645289674
2025-06-13,0.41530287246982706,0.20638546317329806,0.3783116643568749
2025-06-16,0.4164894323018712,0.2059392672128798,0.37757130048524906
2025-06-17,0.41658057213515415,0.20619719672662298,0.37722223113822284
2025-06-18,0.41527275435861777,0.20649052242124336,0.3782367232201388
2025-06-20,0.41518339966468415,0.20644183007715608,0.3783747702581598
2025-06-23,0.4138445975341681,0.20970393844031526,0.3764514640255167
2025-06-24,0.4137077262496743,0.21013965018554773,0.3761526235647779
2025-06-25,0.4125843160674847,0.2085319479234215,0.3788837360090937
2025-06-26,0.41239043371497835,0.20890210850633273,0.378707457778689
2025-06-27,0.41223236898976656,0.20896123582470008,0.37880639518553344
2025-06-30,0.4122142997947452,0.2089292564184997,0.37885644378675515
2025-07-01,0.40109116361982017,0.2103527354664172,0.3885561009137627
2025-07-02,0.3975906203644651,0.20491414235485444,0.39749523728068037
2025-07-03,0.4515844657669227,0.18710080291290584,0.36131473132017145
2025-07-07,0.4713982394510339,0.17975415355024804,0.34884760699871814
2025-07-08,0.4421183884641743,0.17727695018252115,0.38060466135330456
2025-07-09,0.45334576928128223,0.16268105336482944,0.3839731773538885
2025-07-10,0.4557273356420047,0.16079808616837318,0.3834745781896222
2025-07-11,0.47980066710365893,0.15369652994182811,0.36650280295451293
2025-07-14,0.47894106332867503,0.15351507626405766,0.3675438604072673
2025-07-15,0.47138722481418566,0.15854267485614434,0.37007010032967
2025-07-16,0.4754394017242888,0.16013517622324788,0.3644254220524632
2025-07-17,0.4562936555603763,0.16409924555770333,0.37960709888192024
2025-07-18,0.46768520877451386,0.15370057508494872,0.37861421614053736
2025-07-21,0.473157910512428,0.15135710946791922,0.37548498001965286
2025-07-22,0.4650770986931618,0.14770448762084398,0.38721841368599424
2025-07-23,0.45095151167703384,0.1543736274685803,0.39467486085438586
2025-07-24,0.4350541715365738,0.16071190703689964,0.4042339214265266
2025-07-25,0.4348969574886832,0.16039462059673265,0.4047084219145841
2025-07-28,0.4306749826319974,0.16156053148681743,0.4077644858811852
2025-07-29,0.430211697347013,0.16186191961969346,0.40792638303329365
2025-07-30,0.42247701047752567,0.16175564389610358,0.4157673456263708
2025-07-31,0.42056684774398545,0.16165469552077266,0.4177784567352419
2025-08-01,0.42642947033957557,0.16178304714932235,0.4117874825111022
2025-08-04,0.43659053154366834,0.16101393017848986,0.4023955382778417
2025-08-05,0.4405243649721711,0.15959491970246142,0.3998807153253675
2025-08-06,0.436145451697845,0.16166553205860984,0.4021890162435453
2025-08-07,0.4060261735762259,0.15797590515041787,0.4359979212733563
2025-08-08,0.39077535880450176,0.17029363081249793,0.4389310103830003
2025-08-11,0.3914466927040534,0.1748087007133292,0.4337446065826173
2025-08-12,0.3934466033240209,0.17620737049540838,0.4303460261805707
2025-08-13,0.3937445986957238,0.17496028525014012,0.43129511605413606
2025-08-14,0.39221678641023555,0.17546650269032893,0.43231671089943546
2025-08-15,0.3855702119249023,0.17719929019255448,0.43723049788254315
2025-08-18,0.37230933713332404,0.17492786179825484,0.4527628010684212
2025-08-19,0.3771928860449519,0.16887971351993228,0.45392740043511587
2025-08-20,0.37963255870932944,0.16767870358965076,0.4526887377010199
2025-08-21,0.3627954841584853,0.16515013373478246,0.4720543821067322
2025-08-22,0.3708747537607227,0.1668856925010164,0.46223955373826103
2025-08-25,0.3659870183154731,0.1718632758204425,0.4621497058640843
2025-08-26,0.36184367801146516,0.17756909181565322,0.4605872301728816
2025-08-27,0.3611999462595245,0.17772300592314733,0.4610770478173283
2025-08-28,0.35988695362628753,0.1794491764506231,0.4606638699230893
2025-08-29,0.36468754114857677,0.17378289441764283,0.46152956443378046
2025-09-02,0.36638950245819607,0.17345388167681985,0.4601566158649841
2025-09-03,0.3639263356572305,0.17259220707799144,0.46348145726477813
2025-09-04,0.3672500446808104,0.1730806156247279,0.4596693396944617
2025-09-05,0.3703602226097122,0.16894170174499512,0.46069807564529264
2025-09-08,0.37228557400080986,0.1683091867969139,0.4594052392022762
2025-09-09,0.37250038528087376,0.16814131946561126,0.4593582952535149
2025-09-10,0.33655328808091417,0.17067058864347356,0.49277612327561227
2025-09-11,0.3370189479178529,0.17081142881180572,0.4921696232703414
2025-09-12,0.32542126627146384,0.1708534227304614,0.5037253109980747
2025-09-15,0.32351240491645555,0.17172172876244937,0.5047658663210951
2025-09-16,0.3246683071720018,0.1705688517791405,0.5047628410488578
2025-09-17,0.3235267926024689,0.16583665551561863,0.5106365518819125
2025-09-18,0.3204588614786961,0.16220077868091315,0.5173403598403906
2025-09-19,0.31309595309702276,0.17021362144619256,0.5166904254567846
2025-09-22,0.31312935606695397,0.1643761559808706,0.5224944879521755
2025-09-23,0.3155652030027538,0.16254582072105908,0.521888976276187
2025-09-24,0.3164176660518697,0.1622424209984354,0.5213399129496948
2025-09-25,0.31607992579904903,0.16680468055209177,0.5171153936488592
2025-09-26,0.3159092504590349,0.1691089947474293,0.5149817547935358
2025-09-29,0.31579238711512025,0.16691218509192782,0.5172954277929519
2025-09-30,0.3100304627019094,0.16437783999885852,0.5255916972992322
2025-10-01,0.3095300739015905,0.1647759280926798,0.5256939980057298
2025-10-02,0.2987877044333346,0.1672297002866808,0.5339825952799846
2025-10-03,0.29874556124989016,0.1669848555316879,0.5342695832184219
2025-10-06,0.29821246729631967,0.1658923507496944,0.535895181953986
2025-10-07,0.28732536130683,0.1694605870682439,0.5432140516249261
2025-10-08,0.2829172444524666,0.17417547582803677,0.5429072797194967
2025-10-09,0.2838317078642683,0.1734594294520029,0.5427088626837289
2025-10-10,0.3154063451323513,0.1802227105129564,0.5043709443546923
2025-10-13,0.3209228264818058,0.18171131431591456,0.49736585920227955
2025-10-14,0.3195034385485696,0.17603040504759287,0.5044661564038375
2025-10-15,0.32346229332187065,0.17734170162496718,0.4991960050531622
2025-10-16,0.3298812896693711,0.17673957277551694,0.49337913755511204
2025-10-17,0.32844904454750373,0.17834511824393148,0.49320583720856487
2025-10-21,0.33157639153031704,0.1800623996637232,0.4883612088059598
2025-10-22,0.331502344655161,0.1807412448792873,0.4877564104655516
2025-10-23,0.33249028735510466,0.18200022005219657,0.48550949259269877
2025-10-24,0.335341432181321,0.1805337846069663,0.4841247832117126
2025-10-27,0.3304139624663552,0.17662156342160296,0.4929644741120418
2025-10-28,0.32558735436828257,0.17001435993592529,0.5043982856957921
2025-10-29,0.3240558212346272,0.1676031188423777,0.508341059922995
2025-10-30,0.33024733301087184,0.16757768165760054,0.5021749853315277
2025-10-31,0.3352931016144432,0.16633083951262212,0.4983760588729346
2025-11-03,0.34078239353070844,0.16314392008490183,0.49607368638438987
2025-11-04,0.34696361951180926,0.161075162289335,0.4919612181988557
2025-11-05,0.34471648849256564,0.1588577302502707,0.49642578125716363
2025-11-06,0.32646886250430024,0.16309949049138034,0.5104316470043194
2025-11-07,0.32479722885105855,0.16350223684477452,0.5117005343041668
2025-11-10,0.3331965416385446,0.1592400569046544,0.507563401456801
2025-11-11,0.3320953047131176,0.1576799493253602,0.5102247459615222
2025-11-12,0.3298283706940615,0.16000487114066572,0.5101667581652727
2025-11-13,0.3390970331406491,0.16089146515032068,0.5000115017090304
2025-11-14,0.33996901822632913,0.15975133077131023,0.5002796510023605
2025-11-17,0.33723299631902537,0.1580029726118941,0.5047640310690804
2025-11-18,0.34041062673393224,0.15692402558621585,0.5026653476798518
2025-11-19,0.34182470830339146,0.15531832230819834,0.5028569693884102
2025-11-20,0.3490085107688988,0.15617195985672608,0.4948195293743751
2025-11-21,0.3508082024717968,0.15712390544807597,0.4920678920801273
2025-11-24,0.35343594580249055,0.16053037608399368,0.4860336781135157
2025-11-25,0.35479226824284366,0.15974730893098418,0.4854604228261721
2025-11-26,0.3561835105762411,0.1593786446209448,0.48443784480281393
2025-11-28,0.35649649799875044,0.15813493320351552,0.48536856879773416
2025-12-01,0.3563453501998211,0.15942083498504128,0.48423381481513755
2025-12-02,0.35631874211192144,0.15938253782086917,0.48429872006720937
2025-12-03,0.35613182454444803,0.15957556144288412,0.4842926140126679
2025-12-04,0.37845762153257134,0.15574381374931873,0.4657985647181099
2025-12-05,0.37739076620338735,0.15505939978648017,0.4675498340101325
2025-12-08,0.3829406806620606,0.15342658166554035,0.463632737672399
2025-12-09,0.38407480778103537,0.1528090043708864,0.4631161878480784
2025-12-10,0.3846469443073534,0.15358727774630612,0.46176577794634055
2025-12-11,0.3839516217153455,0.15458204480036872,0.46146633348428573
2025-12-12,0.3849463723682376,0.15626631717896566,0.4587873104527967
2025-12-15,0.3906866020207857,0.1544821745566764,0.45483122342253784
2025-12-16,0.38960356147661007,0.15736257745678925,0.45303386106660065
2025-12-17,0.3918366070266587,0.15703259473121614,0.45113079824212526
2025-12-18,0.39363868743908365,0.15662920234351618,0.4497321102174001
2025-12-19,0.3954390413349753,0.15415700905707402,0.45040394960795055
2025-12-22,0.39166933624954225,0.15485216859004075,0.4534784951604169
2025-12-23,0.3903088009265574,0.15455361015427582,0.45513758891916684
2025-12-24,0.3932235430383513,0.15487315644450098,0.4519033005171478
2025-12-26,0.39394732964169105,0.15443666721252172,0.4516160031457872
2025-12-29,0.40740050183693566,0.15110699746874023,0.44149250069432405
2025-12-30,0.40703463540153023,0.15129759569208273,0.4416677689063869
2025-12-31,0.4084426992070238,0.15184098044197247,0.43971632035100366
2026-01-02,0.4331963366613883,0.14506376687502018,0.42173989646359156
