model,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.3649691603333436,0.1986516555084244,1.1161923629066053,-0.21389401438482292,1.70630843215985,-0.018198061287107527,-0.027380178322111738
RandomForest,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.09738598932398146,0.15098282551804795,0.47481794602178695,-0.20736764731156132,0.469629619598582,-0.013672086667354482,-0.02126411497655334
ExtraTrees,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.2241264104867744,0.11808119562898728,1.1711981297825151,-0.12309765508334958,1.8207203893121937,-0.011166384904780552,-0.01558071672271707
GradientBoosting,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.09316963708400161,0.13074676803518923,0.5069935986137017,-0.1555168862755011,0.5990965953301679,-0.01145464675463295,-0.017135471481325423
HistGradientBoosting,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.026931065099220053,0.0866230054342244,0.24243971163103206,-0.10239132185184519,0.2630209729901512,-0.008722424960059495,-0.012644628658473342
LogisticRegression,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.10650598607276396,0.16698183097086405,0.47621738502316563,-0.21526643508591758,0.49476355210813555,-0.015461399116262013,-0.024112796850230787
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.5390820096958913,0.20660336273240326,1.459155083068862,-0.22173129117593982,2.4312401142702917,-0.019476149483414012,-0.029676085744734997
RandomForest,Robust Assets,"D05_SI,NVDA,SPY",0.1348081271540824,0.14761682213199973,0.6303970722538925,-0.21995599165198965,0.612886814956027,-0.014026944034288379,-0.022616488252475645
ExtraTrees,Robust Assets,"D05_SI,NVDA,SPY",0.37862754769063045,0.09577925456307929,2.2259238819534697,-0.1076584690203416,3.51693230580021,-0.007147708314833508,-0.01297708715951101
GradientBoosting,Robust Assets,"D05_SI,NVDA,SPY",0.11805303612033202,0.1249574442935965,0.6420576281572618,-0.15645597839559988,0.7545447437095322,-0.01251440949883481,-0.017967697865849962
HistGradientBoosting,Robust Assets,"D05_SI,NVDA,SPY",0.06960455852024694,0.09764000836505111,0.49626823323733976,-0.10618809887580427,0.6554836112251637,-0.009730912445782502,-0.014526757393496747
LogisticRegression,Robust Assets,"D05_SI,NVDA,SPY",0.18288380194878795,0.17699609378291112,0.7042649947169819,-0.2145759485474562,0.8523033601239837,-0.015565529778792286,-0.025503692782158038
