asset,selected_threshold,selected_filter,model_return,benchmark_return,model_volatility,benchmark_volatility,model_sharpe,benchmark_sharpe,model_mdd,benchmark_mdd,model_calmar,benchmark_calmar,model_var_95,model_es_95,market_exposure,turnover,cost_drag
D05_SI,0.4,NO_FILTER,0.6591206714838016,0.6698980137321533,0.1817705648515494,0.1817904066501185,1.9442059074989528,1.9677287217072894,-0.19258283752070537,-0.19258283752070537,3.4225306884521154,3.478492800066516,-0.0126253129100368,-0.025746528970903654,1.0,1.0,0.001
NVDA,0.55,NO_FILTER,0.21999345377975743,0.45298220638949704,0.13018373817395326,0.460365360327515,1.089864260354696,0.7759150780608872,-0.06504235423855342,-0.3688102601232919,3.3823107474384404,1.2282256091196238,-0.00030000000000000073,-0.008128681235024235,0.050666666666666665,26.0,0.026000000000000002
SPY,0.4,NO_FILTER,0.26562061421783767,0.292537818391007,0.17699217272316864,0.17853384734507113,0.9821169052323926,1.0544379646168962,-0.1875523955363284,-0.1875523955363282,1.416247515571656,1.5597658326595116,-0.01582449793770686,-0.02477499272378646,0.9146666666666666,15.0,0.015000000000000001
