Ticker,Threshold,Strategy Total Return,Benchmark Total Return,Strategy Maximum Drawdown,Benchmark Maximum Drawdown,Strategy Sharpe Ratio,Benchmark Sharpe Ratio,Market Exposure
D05_SI,0.4,0.2927342432338158,0.5008087268682735,-0.13656741467045086,-0.1466910673944113,2.039367098871133,2.5120114841939225,0.6489795918367347
D05_SI,0.45,0.2026399275863413,0.5008087268682735,-0.12264868076128144,-0.1466910673944113,1.7000476258527883,2.5120114841939225,0.42857142857142855
D05_SI,0.5,0.03313670501311505,0.5008087268682735,-0.09211856640489258,-0.1466910673944113,0.4566965587173557,2.5120114841939225,0.1306122448979592
D05_SI,0.55,0.05931240819112982,0.5008087268682735,0.0,-0.1466910673944113,1.7642943572268472,2.5120114841939225,0.0163265306122449
D05_SI,0.6,0.0,0.5008087268682735,0.0,-0.1466910673944113,0.0,2.5120114841939225,0.0
MSFT,0.4,0.3235120919897678,0.18603507007101916,-0.130965526521988,-0.15486780020271895,1.7641197699281046,0.9774883295994098,0.8857142857142857
MSFT,0.45,0.18049605360878673,0.18603507007101916,-0.1399777949267057,-0.15486780020271895,1.132612220476757,0.9774883295994098,0.7551020408163265
MSFT,0.5,0.24130438377799002,0.18603507007101916,-0.0694767909549654,-0.15486780020271895,1.7686936023841031,0.9774883295994098,0.46530612244897956
MSFT,0.55,0.01867060319956515,0.18603507007101916,-0.043652568517901114,-0.15486780020271895,0.3335531233100937,0.9774883295994098,0.11428571428571428
MSFT,0.6,0.007775139024547073,0.18603507007101916,0.0,-0.15486780020271895,1.0640374449747811,0.9774883295994098,0.00816326530612245
NVDA,0.4,1.7540540809742464,1.797255529869937,-0.2704675219646048,-0.2704675219646048,2.2357381075246896,2.2647485496168516,0.9877551020408163
NVDA,0.45,1.7277253605792202,1.797255529869937,-0.25910895461025885,-0.2704675219646048,2.2413656172408105,2.2647485496168516,0.9428571428571428
NVDA,0.5,1.267046966518249,1.797255529869937,-0.2877164806821948,-0.2704675219646048,1.9583486848381058,2.2647485496168516,0.7959183673469388
NVDA,0.55,0.8554902474757418,1.797255529869937,-0.19738486698753777,-0.2704675219646048,1.713654963227625,2.2647485496168516,0.5755102040816327
NVDA,0.6,-0.03801780028559398,1.797255529869937,-0.26467984291883484,-0.2704675219646048,0.013355702679561526,2.2647485496168516,0.24897959183673468
QQQ,0.4,0.3415625596158105,0.29387769509796735,-0.12404814211068083,-0.13557734543174893,1.8818213058551843,1.5658488029610171,0.8163265306122449
QQQ,0.45,0.34150118850112143,0.29387769509796735,-0.11080399389215345,-0.13557734543174893,2.1326253138593936,1.5658488029610171,0.5877551020408164
QQQ,0.5,0.10778343307740301,0.29387769509796735,-0.09902472460449363,-0.13557734543174893,0.9357176941552698,1.5658488029610171,0.30612244897959184
QQQ,0.55,0.04790470097285282,0.29387769509796735,-0.05790827955214439,-0.13557734543174893,0.8062876883663551,1.5658488029610171,0.08571428571428572
QQQ,0.6,0.0,0.29387769509796735,0.0,-0.13557734543174893,0.0,1.5658488029610171,0.0
SPY,0.4,0.2885572397728553,0.2667573542456121,-0.04719979902037352,-0.084056115595735,2.705338110840966,2.0011125555394913,0.636734693877551
SPY,0.45,0.16897525014672277,0.2667573542456121,-0.04137103829420008,-0.084056115595735,2.2590073461625533,2.0011125555394913,0.2693877551020408
SPY,0.5,0.0006740932120745668,0.2667573542456121,-0.0291236453632302,-0.084056115595735,0.03846345969840357,2.0011125555394913,0.07755102040816327
SPY,0.55,0.005120208319407071,0.2667573542456121,-0.0291236453632302,-0.084056115595735,0.147508842883539,2.0011125555394913,0.036734693877551024
SPY,0.6,0.010625420294278154,0.2667573542456121,0.0,-0.084056115595735,1.01418510567422,2.0011125555394913,0.004081632653061225
