feature,importance,importance_rank
ma60_ratio,0.21096134616741544,1
volatility_20d,0.18666509264582812,2
rsi_14,0.1853804434640131,3
ma20_ratio,0.12184750277211265,4
return_20d,0.1130087620143955,5
ma10_ratio,0.09759821800600252,6
return_5d,0.0845386349302327,7
