Ticker,Threshold,Strategy Total Return,Benchmark Total Return,Strategy Maximum Drawdown,Benchmark Maximum Drawdown,Strategy Sharpe Ratio,Benchmark Sharpe Ratio,Market Exposure,Average Predicted Probability,Train Period,Test Year
D05_SI,0.4,0.05017049187534628,0.05750265225625739,-0.1327551010977842,-0.1275537098388292,0.45798685380769505,0.46468228759686414,0.7379032258064516,0.47752028690430914,2022,2023
D05_SI,0.45,0.1034027300195759,0.05750265225625739,-0.07344366511661526,-0.1275537098388292,0.9692641873680037,0.46468228759686414,0.5685483870967742,0.47752028690430914,2022,2023
D05_SI,0.5,0.08043861741313552,0.05750265225625739,-0.055471916426767076,-0.1275537098388292,0.8760613491710837,0.46468228759686414,0.38306451612903225,0.47752028690430914,2022,2023
D05_SI,0.55,0.08855440210412735,0.05750265225625739,-0.06182494909465586,-0.1275537098388292,1.1162686284817431,0.46468228759686414,0.20967741935483872,0.47752028690430914,2022,2023
D05_SI,0.6,-0.00033302442696780954,0.05750265225625739,-0.08345927248861262,-0.1275537098388292,0.026040532116448568,0.46468228759686414,0.1532258064516129,0.47752028690430914,2022,2023
MSFT,0.4,0.13598149043649688,0.583497641927941,-0.11829108546468525,-0.1298758912241994,0.9580434372232511,1.977912038509239,0.285140562248996,0.3668229207285424,2022,2023
MSFT,0.45,0.20236759842673968,0.583497641927941,-0.06971607751031395,-0.1298758912241994,1.6123484553028784,1.977912038509239,0.19678714859437751,0.3668229207285424,2022,2023
MSFT,0.5,0.19230351898389353,0.583497641927941,-0.06577845443792274,-0.1298758912241994,1.567000899247016,1.977912038509239,0.1606425702811245,0.3668229207285424,2022,2023
MSFT,0.55,0.04882543129457706,0.583497641927941,-0.06993513361053971,-0.1298758912241994,0.5717544713359151,1.977912038509239,0.12048192771084337,0.3668229207285424,2022,2023
MSFT,0.6,0.026025269813527263,0.583497641927941,-0.06993513361053971,-0.1298758912241994,0.332366801773361,1.977912038509239,0.10843373493975904,0.3668229207285424,2022,2023
NVDA,0.4,1.4272126939915766,2.460983531776473,-0.16300714235604463,-0.1828726192234299,2.448831636105339,2.8300232094763134,0.4497991967871486,0.38817270945146387,2022,2023
NVDA,0.45,0.7664703857354491,2.460983531776473,-0.16117676554342442,-0.1828726192234299,1.8578855125209286,2.8300232094763134,0.2931726907630522,0.38817270945146387,2022,2023
NVDA,0.5,-0.14280255163498878,2.460983531776473,-0.2032393415350945,-0.1828726192234299,-0.8005877892186004,2.8300232094763134,0.1566265060240964,0.38817270945146387,2022,2023
NVDA,0.55,-0.08779497737409558,2.460983531776473,-0.1793530790700142,-0.1828726192234299,-0.6388393717066466,2.8300232094763134,0.06827309236947791,0.38817270945146387,2022,2023
NVDA,0.6,-0.03601899785918605,2.460983531776473,-0.04927804071433095,-0.1828726192234299,-0.592955692161364,2.8300232094763134,0.01606425702811245,0.38817270945146387,2022,2023
QQQ,0.4,0.17921036257592382,0.5590949101604836,-0.10106865589623037,-0.10779931758232719,1.459643333893894,2.6046893396890853,0.3534136546184739,0.3797114568291712,2022,2023
QQQ,0.45,0.09590791124969811,0.5590949101604836,-0.09586029654983574,-0.10779931758232719,0.9674523740797331,2.6046893396890853,0.24899598393574296,0.3797114568291712,2022,2023
