Ticker,Buy and Hold Return,Strategy Return,Buy and Hold MDD,Strategy MDD,Buy and Hold Sharpe,Strategy Sharpe
NVDA,3.572180247329067,0.5976128892760173,-0.6164349409114346,-0.5036091472972699,1.1954342886063485,0.6002926561445481
MSFT,0.3020104108788906,-0.0011501943673829507,-0.3445492275495796,-0.2968037207761287,0.458797593322999,0.07925286741782565
SPY,0.28662234130985453,0.11123185922994838,-0.24471083074726063,-0.17067198478298218,0.5703946435070759,0.37756407010734183
QQQ,0.309765471290151,-0.0190706407989768,-0.3397153949347169,-0.2859809218295415,0.500286707637232,0.018403636123723893
D05_SI,0.7458036311233864,0.2333413181876891,-0.19119933323574356,-0.12339410663498707,1.2118384067088983,0.7376757641971767
