signal_date,effective_return_date,asset,ticker,portfolio_sleeve_weight,decision_price,predicted_probability,selected_threshold,selected_filter,validation_calmar,signal,previous_position,target_position,position_change,position_change_abs,side,daily_asset_return,gross_strategy_return,fixed_cost_bps,fixed_cost_return,fixed_cost_net_return,data_as_of_date,data_snapshot
2025-01-02,2025-01-03,D05_SI,D05.SI,0.3333333333333333,40.288272857666016,0.4549622813718155,0.4,NO_FILTER,3.618630459002006,1,0.0,1.0,1.0,1.0,BUY,0.005489510379658835,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-02,2025-01-03,SPY,SPY,0.3333333333333333,574.799560546875,0.5456328424137514,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,-0.002456912408398071,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-06,2025-01-07,NVDA,NVDA,0.3333333333333333,149.2071533203125,0.5514774895421124,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,0.03433240961951434,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-07,2025-01-08,NVDA,NVDA,0.3333333333333333,139.93099975585938,0.49129205003928195,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,-0.062169630329582226,-0.062169630329582226,10.0,0.001,-0.06316963032958223,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-27,2025-01-28,NVDA,NVDA,0.3333333333333333,118.24340057373048,0.5711838891928207,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.1696816230490189,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-28,2025-01-29,NVDA,NVDA,0.3333333333333333,128.79763793945312,0.5046711264354826,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.08925857438565088,0.08925857438565088,10.0,0.001,0.08825857438565088,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-04-04,2025-04-07,NVDA,NVDA,0.3333333333333333,94.17801666259766,0.5771177823083717,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.07357568117034718,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-04-07,2025-04-08,NVDA,NVDA,0.3333333333333333,97.50334930419922,0.5175998101268205,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.03530901116249785,0.03530901116249785,10.0,0.001,0.03430901116249785,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-05-15,2025-05-16,NVDA,NVDA,0.3333333333333333,134.64129638671875,0.5690580090085483,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.003768334317651667,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-05-21,2025-05-22,NVDA,NVDA,0.3333333333333333,131.61553955078125,0.5101480316341754,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,-0.019199370326786203,-0.019199370326786203,10.0,0.001,-0.020199370326786203,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-06-26,2025-06-27,SPY,SPY,0.3333333333333333,605.1646118164062,0.3693444287362719,0.4,NO_FILTER,3.864395561716396,0,1.0,0.0,-1.0,1.0,SELL,0.007823809728070064,0.007823809728070064,10.0,0.001,0.0068238097280700636,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-07-15,2025-07-16,SPY,SPY,0.3333333333333333,615.3220825195312,0.43808959697949634,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,-0.004273113843065612,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-07-23,2025-07-24,SPY,SPY,0.3333333333333333,627.2598266601562,0.3972647161694971,0.4,NO_FILTER,3.864395561716396,0,1.0,0.0,-1.0,1.0,SELL,0.008507575318954297,0.008507575318954297,10.0,0.001,0.007507575318954297,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-07-24,2025-07-25,SPY,SPY,0.3333333333333333,627.4674682617188,0.41024406305335775,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,0.00033102965109055305,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-07-25,2025-07-28,SPY,SPY,0.3333333333333333,630.1181030273438,0.3695915491986927,0.4,NO_FILTER,3.864395561716396,0,1.0,0.0,-1.0,1.0,SELL,0.004224338152491125,0.004224338152491125,10.0,0.001,0.003224338152491125,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-07-29,2025-07-30,SPY,SPY,0.3333333333333333,628.2982177734375,0.4093011887173454,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,-0.002637758576639282,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-09-05,2025-09-08,NVDA,NVDA,0.3333333333333333,166.7978515625,0.5604962194374618,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,-0.027030212069536264,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-09-09,2025-09-10,NVDA,NVDA,0.3333333333333333,170.53286743164062,0.5363536895889035,0.55,NO_FILTER,10.133806552797092,0,1.0,0.0,-1.0,1.0,SELL,0.014556415107065845,0.014556415107065845,10.0,0.001,0.013556415107065845,2026-07-13,final_model_bridge_prices_2026-07-06.csv
