Date,all_assets_ml_net,all_assets_buy_hold,robust_assets_ml_net,robust_assets_buy_hold
2025-01-02,0.0,0.004816715088154888,0.0,0.010989146266354463
2025-01-03,0.009261371254721706,0.015413581643512319,0.01543561875786951,0.016435618757869513
2025-01-06,0.004563747726398138,0.013956098877425794,0.004108646660102318,0.015886070439331174
2025-01-07,-0.003326818754568084,-0.018322388928127653,0.0004033714959783552,-0.020319822096505402
2025-01-08,0.004309110926191795,0.005546136991264827,0.0071236060738495794,0.0074569394071829125
2025-01-10,-0.010256329028927324,-0.01869436307358181,-0.01186684640925458,-0.021525659849405725
2025-01-13,-0.0006046188903319205,-0.005388630884717393,6.358116381673569e-05,-0.006509434812415578
2025-01-14,-0.0006963426470903975,-0.0036215917269923235,-0.0008272377451506626,-0.004505074294633797
2025-01-15,0.001815709346860883,0.01833666213454488,0.0030261822447681386,0.014359954632131208
2025-01-16,-0.0017101433215101157,-0.005229723419476651,0.001504505690491209,-0.005028127806119683
2025-01-17,0.013798658881147553,0.013998658881147551,0.013877917147791519,0.014211250481124852
2025-01-21,0.002144003433724939,0.006875256845521216,0.0020300807403370964,0.00991550309333089
2025-01-22,0.002516592183170041,0.019839762388606498,0.00026580052808141313,0.01503542784004915
2025-01-23,0.0031863566430969438,0.0042115810236924124,0.005596283434073664,0.005929616767406998
2025-01-24,-0.003339861342479944,-0.0105192918362351,-0.003589019092376892,-0.01367097650403711
2025-01-27,-0.012716950560689066,-0.04645328315419985,-0.004025602006795137,-0.060586156329313114
2025-01-28,0.011088161958069165,0.028939900186264376,0.0038580452168021453,0.033610942263794165
2025-01-31,-0.004878913943850249,-0.004645176229207637,-0.007313844320198437,-0.007313844320198437
2025-02-03,-0.004491513955325743,-0.011966381384297665,-0.004818118733371864,-0.013951461728135625
2025-02-04,0.0016381505626485771,0.008410555769812733,0.003063584271080962,0.00874958288818998
2025-02-05,0.0010682180194616644,0.012131643871869246,0.0006010884321289897,0.017963107655455723
2025-02-06,0.007707490784065585,0.009131811171635284,0.011105880096741072,0.011439213430074405
2025-02-07,0.0013966955400137593,-0.0038455737984083526,0.002661159233356266,0.002661159233356266
2025-02-10,0.012458247988745152,0.013863890346748908,0.01706201827590011,0.01706201827590011
2025-02-11,-0.004391213733260102,-0.004191213733260102,-0.005561058786927142,-0.005561058786927142
2025-02-12,-0.0014029829414680115,-0.0037030027682998902,-0.0005896355335692028,-0.004423001911622333
2025-02-13,0.012296072766030819,0.012496072766030819,0.01447581396859384,0.014809147301927172
2025-02-14,-0.002414271762997533,0.004088221207613563,-0.001977259389855601,0.007127403036405837
2025-02-18,0.004735282668203489,0.00598091502504392,0.006904627502069364,0.008224997297953415
2025-02-19,0.004023679285509374,0.003835398524561784,0.002531711463682399,0.0021251881255089553
