signal_date,effective_return_date,asset,ticker,portfolio_sleeve_weight,decision_price,predicted_probability,selected_threshold,selected_filter,validation_calmar,signal,previous_position,target_position,position_change,position_change_abs,side,daily_asset_return,gross_strategy_return,fixed_cost_bps,fixed_cost_return,fixed_cost_net_return,data_as_of_date,data_snapshot
2025-01-02,2025-01-03,D05_SI,D05.SI,0.3333333333333333,40.288272857666016,0.4549622813718155,0.4,NO_FILTER,3.618630459002006,1,0.0,1.0,1.0,1.0,BUY,0.005489510379658835,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-02,2025-01-03,NVDA,NVDA,0.3333333333333333,138.10372924804688,0.49747145367234696,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.02993523678084742,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-02,2025-01-03,SPY,SPY,0.3333333333333333,574.799560546875,0.5456328424137514,0.4,NO_FILTER,3.864395561716396,1,0.0,1.0,1.0,1.0,BUY,-0.002456912408398071,-0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-03,2025-01-06,D05_SI,D05.SI,0.3333333333333333,39.97666549682617,0.4763908569793972,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,-0.00773444326940298,-0.00773444326940298,10.0,0.0,-0.00773444326940298,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-03,2025-01-06,NVDA,NVDA,0.3333333333333333,144.25454711914062,0.5162920448858103,0.55,NO_FILTER,10.133806552797092,0,0.0,0.0,0.0,0.0,NONE,0.044537666756603755,0.0,10.0,0.0,0.0,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-03,2025-01-06,SPY,SPY,0.3333333333333333,581.9865112304688,0.5317890519534522,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.01250340323286947,0.01250340323286947,10.0,0.0,0.01250340323286947,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-06,2025-01-07,D05_SI,D05.SI,0.3333333333333333,40.27910614013672,0.45383038021542177,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.007565429471213747,0.007565429471213747,10.0,0.0,0.007565429471213747,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-06,2025-01-07,NVDA,NVDA,0.3333333333333333,149.2071533203125,0.5514774895421124,0.55,NO_FILTER,10.133806552797092,1,0.0,1.0,1.0,1.0,BUY,0.03433240961951434,0.0,10.0,0.001,-0.001,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-06,2025-01-07,SPY,SPY,0.3333333333333333,585.3390502929688,0.521803390127529,0.4,NO_FILTER,3.864395561716396,1,1.0,1.0,0.0,0.0,NONE,0.00576050990496646,0.00576050990496646,10.0,0.0,0.00576050990496646,2026-07-13,final_model_bridge_prices_2026-07-06.csv
2025-01-07,2025-01-08,D05_SI,D05.SI,0.3333333333333333,40.783164978027344,0.4536064439745137,0.4,NO_FILTER,3.618630459002006,1,1.0,1.0,0.0,0.0,NONE,0.012514151533972395,0.012514151533972395,10.0,0.0,0.012514151533972395,2026-07-13,final_model_bridge_prices_2026-07-06.csv
