portfolio,assets,average_market_exposure,total_return,annualized_volatility,sharpe,mdd,calmar_ratio,daily_var_95,daily_expected_shortfall_95
all_assets_ml_net,all,0.48296703296703297,0.15542847281686534,0.08257708359024532,1.2526402418823686,-0.06659540602582803,2.3339218437467704,-0.008414066943687593,-0.012283713439164479
all_assets_buy_hold,all,0.48296703296703297,0.2876542332234828,0.19874858914152346,0.9796039043691588,-0.20320912741487995,1.415557641937,-0.018638566951763684,-0.027856902816048853
robust_assets_ml_net,"D05_SI,NVDA,SPY",0.5439560439560439,0.28961664876552495,0.08948149516273342,2.013017456920896,-0.059095276460663926,4.900842607248057,-0.007219826966057508,-0.0118907002028997
robust_assets_buy_hold,"D05_SI,NVDA,SPY",0.5439560439560439,0.4388179094176208,0.2063590645571229,1.32404945012427,-0.2167708886646057,2.024339670888985,-0.01963980286934415,-0.03004077232651008
