asset,feature_set,selected_threshold,selected_filter,test_return,benchmark_return,test_sharpe,test_mdd,test_calmar,market_exposure,turnover,cost_drag
D05_SI,Full,0.4,NO_FILTER,0.659120514389856,0.6698980137321533,1.9442052711392694,-0.19258292670766963,3.4225282877249286,1.0,1.0,0.001
D05_SI,Top3,0.55,NO_FILTER,0.12378052928235372,0.6698980137321533,0.9570396299932444,-0.05491763359457458,2.2539304988294733,0.06068601583113457,2.0,0.002
D05_SI,RiskAware,0.6,NO_FILTER,0.12378052928235372,0.6698980137321533,0.9570396299932444,-0.05491763359457458,2.2539304988294733,0.06068601583113457,2.0,0.002
D05_SI,Trend,0.4,NO_FILTER,0.659120514389856,0.6698980137321533,1.9442052711392694,-0.19258292670766963,3.4225282877249286,1.0,1.0,0.001
D05_SI,Momentum,0.4,NO_FILTER,0.659120514389856,0.6698980137321533,1.9442052711392694,-0.19258292670766963,3.4225282877249286,1.0,1.0,0.001
MSFT,Full,0.4,NO_FILTER,-0.0569849362872924,-0.06258039961801809,-0.0016318381993138842,-0.34498391627511615,-0.16518142904334218,1.0,1.0,0.001
MSFT,Top3,0.55,NO_FILTER,0.07666512535228698,-0.06258039961801809,0.45534269213695194,-0.10396700159500061,0.7373986377998375,0.08,10.0,0.01
MSFT,RiskAware,0.6,NO_FILTER,0.04279237551775816,-0.06258039961801809,0.2844588726784938,-0.13079616829527863,0.32716841842914174,0.08,8.0,0.008
MSFT,Trend,0.4,NO_FILTER,-0.0569849362872924,-0.06258039961801809,-0.0016318381993138842,-0.34498391627511615,-0.16518142904334218,1.0,1.0,0.001
MSFT,Momentum,0.55,MA100,0.0,-0.06258039961801809,,0.0,,0.0,0.0,0.0
NVDA,Full,0.55,NO_FILTER,0.21999332888298517,0.4529822063894977,1.0898635004312331,-0.06504244995479758,3.382303849806911,0.050666666666666665,26.0,0.026000000000000002
NVDA,Top3,0.55,NO_FILTER,0.23480189846419974,0.4529822063894977,1.6360046321622115,-0.015014119340021392,15.638739319083179,0.021333333333333333,12.0,0.012
NVDA,RiskAware,0.6,NO_FILTER,0.09662382859258978,0.4529822063894977,0.7672798319552092,-0.029770935687804312,3.2455758060762534,0.021333333333333333,10.0,0.01
NVDA,Trend,0.4,NO_FILTER,0.40934044930561697,0.4529822063894977,0.731701450618282,-0.3688103246724097,1.1098942245426766,1.0,1.0,0.001
NVDA,Momentum,0.4,NO_FILTER,0.40934044930561697,0.4529822063894977,0.731701450618282,-0.3688103246724097,1.1098942245426766,1.0,1.0,0.001
QQQ,Full,0.5,NO_FILTER,0.10336639607717957,0.40427037432995405,0.4653711600311215,-0.14764219939792067,0.700114171278292,0.5386666666666666,58.0,0.05800000000000001
QQQ,Top3,0.45,NO_FILTER,0.31641814284530634,0.40427037432995405,0.9378841940252128,-0.2276830844704011,1.3897305703728766,0.9066666666666666,25.0,0.025
QQQ,RiskAware,0.5,NO_FILTER,0.2425254444740088,0.40427037432995405,0.8779492196337193,-0.1808297909056713,1.341180804663545,0.6026666666666667,32.0,0.032
QQQ,Trend,0.5,NO_FILTER,0.14391352947105296,0.40427037432995405,0.6215627354051871,-0.14205958890844128,1.0130504429645124,0.48,72.0,0.07200000000000001
QQQ,Momentum,0.55,NO_FILTER,0.02755500974197922,0.40427037432995405,0.21708585614015377,-0.08174556703145652,0.33708261796478545,0.013333333333333334,4.0,0.004
SPY,Full,0.4,NO_FILTER,0.26562097790137074,0.2925379553020895,0.9821182194823199,-0.18755234489427308,1.416249837084716,0.9146666666666666,15.0,0.015000000000000001
SPY,Top3,0.55,NO_FILTER,0.062410142852779016,0.2925379553020895,0.42391000316582844,-0.07586461676139489,0.8226515273789344,0.048,16.0,0.016
SPY,RiskAware,0.6,NO_FILTER,0.09773407188116923,0.2925379553020895,0.6381353995086501,-0.07586461676139478,1.288269499713642,0.034666666666666665,12.0,0.012
SPY,Trend,0.55,NO_FILTER,0.08007744578274356,0.2925379553020895,0.5140511034793299,-0.07586461676139489,1.0555308812090705,0.064,18.0,0.018000000000000002
SPY,Momentum,0.4,NO_FILTER,0.2944255708193111,0.2925379553020895,1.0600028877763108,-0.18755234489427308,1.5698314568409397,1.0,1.0,0.001
