Date,Buy & Hold,Final ExtraTrees ML
2025-01-02,1.0109891404054607,0.9993333333333333
2025-01-03,1.027605394681687,1.000922025292716
2025-01-06,1.0439300567620953,1.0050344631805463
2025-01-07,1.0227175247747404,0.9842772734438892
2025-01-08,1.030343897363557,0.9916871567218707
2025-01-09,1.0203668229520944,0.9820844050766937
2025-01-10,0.9984026648528274,0.9707574824937152
2025-01-13,0.9919036940590397,0.9708192472670573
2025-01-14,0.9874351480857898,0.9700162057970263
2025-01-15,1.0016145625410466,0.9729515561028472
2025-01-16,0.9965784374413807,0.9744154353195355
2025-01-17,1.0107410424460688,0.978195763154619
2025-01-20,1.0054395666102809,0.9730649917866293
2025-01-21,1.0154090042098876,0.9753647472828137
2025-01-22,1.0306760753018307,0.9756239662785618
2025-01-23,1.0367876053065102,0.9810773956308954
2025-01-24,1.0226137803794488,0.9778833801939634
2025-01-27,0.9606575207499902,0.9736208164209813
2025-01-28,0.9929460682039684,1.0060205314158446
2025-01-29,0.9703594924114611,1.0037655012585116
2025-01-30,0.976689638936666,1.0064591995971741
2025-01-31,0.9695464529852874,1.0114250351747107
2025-02-03,0.956019776332531,1.0068889453887255
2025-02-04,0.9643845708086931,1.0099735994346506
2025-02-05,0.9817078555997292,1.0105806513356572
2025-02-06,0.992937780050033,1.0117514872698403
2025-02-07,0.9955803398956732,1.011403910540486
2025-02-10,1.0125668949947182,1.018975305145709
2025-02-11,1.0069358271206585,1.0152666714780147
2025-02-12,1.0024821974601006,1.0150064911816097
2025-02-13,1.0173280551263524,1.0193309948357643
2025-02-14,1.0245789777113004,1.0176553244928097
2025-02-17,1.028234850719375,1.021286492722171
2025-02-18,1.0366919738726537,1.0283380299358387
2025-02-19,1.0388952379964076,1.03094154417987
2025-02-20,1.0399442111419153,1.0298104224438172
2025-02-21,1.0240243545944028,1.0279617831071393
2025-02-24,1.009956544946011,1.024417988372055
2025-02-25,1.0003031471492143,1.0241932743366877
2025-02-26,1.0135751599667817,1.0252457372195685
2025-02-27,0.9791041184422544,1.0193514098626275
2025-02-28,0.9921827392994514,1.0194781012602498
2025-03-03,0.9566996480789017,1.0125618654962085
