asset,model,selected_threshold,selected_filter,validation_calmar,validation_return,test_accuracy,test_precision,test_recall,test_return,benchmark_return,excess_return,test_volatility,test_sharpe,benchmark_sharpe,test_mdd,benchmark_mdd,test_calmar,benchmark_calmar,market_exposure,total_turnover,cost_drag
D05_SI,RandomForest,0.4,NO_FILTER,1.9791296338685127,0.2719934624115734,0.5476190476190477,0.5362318840579711,0.4088397790055249,0.4296214399127385,0.6661543694874623,-0.23653292957472383,0.16222320026203504,1.5508465194501022,1.9621076272004974,-0.2044873630795513,-0.19258274833374167,2.1009681646958485,3.4590552645610364,0.7698412698412699,52.0,0.052000000000000005
MSFT,RandomForest,0.4,NO_FILTER,1.4813665458411374,0.20016253329270595,0.552,0.44036697247706424,0.676056338028169,-0.11061200101898983,-0.06258046829452224,-0.048031532724467585,0.2769595825016417,-0.14638802159689956,-0.01587172478248753,-0.36041713212652016,-0.3449839904946902,-0.306899953302333,-0.18140107952483506,0.9413333333333334,24.0,0.024
NVDA,RandomForest,0.4,NO_FILTER,4.32719702471776,0.9011856595946599,0.5066666666666667,0.4868421052631579,0.4088397790055249,-0.06612164641611251,0.4529822063894966,-0.5191038528056091,0.4248473177611103,0.10461775089813553,0.7759150819329298,-0.4602064030677119,-0.36881031125619246,-0.14367824084008624,1.2282254388349638,0.8133333333333334,63.0,0.063
QQQ,RandomForest,0.45,NO_FILTER,7.757543195980092,0.4427202796392051,0.45066666666666666,0.4020100502512563,0.47904191616766467,0.22360860645406455,0.4042703743299525,-0.18066176787588795,0.19355004591940797,0.7961716420618907,1.1120173686379087,-0.20700458690825463,-0.22768311550658615,1.080210877419682,1.7755834613843302,0.696,67.0,0.067
SPY,RandomForest,0.6,MA100,26.773989600610616,0.026773989600613612,0.512,0.3969849246231156,0.5563380281690141,-0.003875948081081604,0.2925376814799556,-0.29641362956103723,0.015109142818075441,-0.16514729269991865,1.0544371662238916,-0.017113879725678016,-0.18755229425221798,-0.22647980137817914,1.5597659449932113,0.013333333333333334,8.0,0.008
