sizing_method,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.3680359513966953,0.198398598056764,1.1220793123707506,-0.21389413487704845,1.720645363222565,-0.018180239296803475,-0.027380185826396314
Binary,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.22570509687325901,0.11791950502971757,1.176863222111948,-0.12309761552108278,1.8335456452005992,-0.011152149129168456,-0.015580718806126955
ThreeStep,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.18001705851323835,0.10600853366936935,1.0643372931022734,-0.11829694989219952,1.5217387994980642,-0.009126510114045432,-0.013769094865847297
FourStep,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.13311541544901595,0.09138227198923639,0.9312563816130748,-0.10438123510779496,1.275281091582669,-0.007741858760766945,-0.011477689890646863
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.5425401145907738,0.20633871887623778,1.4643249194629286,-0.22173142301641346,2.44683458577999,-0.01943524908588328,-0.029676084306794977
Binary,Robust Assets,"D05_SI,NVDA,SPY",0.3817252114214713,0.0956623957270189,2.238129738016145,-0.10765842725236585,3.5457067427397577,-0.007147340947698459,-0.01297709306628803
ThreeStep,Robust Assets,"D05_SI,NVDA,SPY",0.3023417106617563,0.085697571176401,2.040392512880832,-0.11537805191085349,2.6204438855958476,-0.006783518000981403,-0.012088783990811248
FourStep,Robust Assets,"D05_SI,NVDA,SPY",0.19471118468300452,0.07275267978786393,1.620895572266145,-0.1120362765445263,1.7379298088831159,-0.005785608320665659,-0.01073931244708366
