asset,ticker,train_period,test_period,threshold,accuracy_at_050,precision_at_050,recall_at_050,market_exposure,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_volatility,benchmark_volatility,strategy_mdd,benchmark_mdd
D05_SI,D05.SI,2022-2024,2025-2026,0.4,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.8936170212765957,0.4285961061911645,0.632961171278448,-0.20436506508728347,1.450029869803641,1.8968795999740191,0.1755976359565496,0.18213591976444163,-0.1961399394528257,-0.192583015894633
D05_SI,D05.SI,2022-2024,2025-2026,0.45,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.7446808510638298,0.3788179759607566,0.632961171278448,-0.25414319531769136,1.4020101397700673,1.8968795999740191,0.163147168168267,0.18213591976444163,-0.20402192908691053,-0.192583015894633
D05_SI,D05.SI,2022-2024,2025-2026,0.5,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.5398936170212766,0.30327489517962336,0.632961171278448,-0.3296862760988246,1.2884149309285178,1.8968795999740191,0.14617463013192641,0.18213591976444163,-0.1949290532961726,-0.192583015894633
D05_SI,D05.SI,2022-2024,2025-2026,0.55,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.27925531914893614,0.13364718922097252,0.632961171278448,-0.49931398205747546,0.7637833771372904,1.8968795999740191,0.11949855896281351,0.18213591976444163,-0.13982971051756476,-0.192583015894633
D05_SI,D05.SI,2022-2024,2025-2026,0.6,0.5212765957446809,0.4975369458128079,0.5642458100558659,0.11702127659574468,0.0800049380334622,0.632961171278448,-0.5529562332449858,0.5209141639601217,1.8968795999740191,0.11094472959759198,0.18213591976444163,-0.13291368070074705,-0.192583015894633
MSFT,MSFT,2022-2024,2025-2026,0.4,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.9115281501340483,-0.00817637755846612,-0.10451936755638447,0.09634298999791835,0.11403256320572731,-0.12820171403938505,0.2702471870866791,0.27905413951335406,-0.34352972689391803,-0.34498391627511604
MSFT,MSFT,2022-2024,2025-2026,0.45,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.774798927613941,-0.12840901688560247,-0.10451936755638447,-0.023889649329218,-0.22937074529209966,-0.12820171403938505,0.259053396267632,0.27905413951335406,-0.3268948880198893,-0.34498391627511604
MSFT,MSFT,2022-2024,2025-2026,0.5,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.517426273458445,-0.00013645125907268962,-0.10451936755638447,0.10438291629731178,0.10015586045765493,-0.12820171403938505,0.20399226537202045,0.27905413951335406,-0.20639731400811612,-0.34498391627511604
MSFT,MSFT,2022-2024,2025-2026,0.55,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.34048257372654156,-0.06878765525852615,-0.10451936755638447,0.03573171229785832,-0.19090767393069144,-0.12820171403938505,0.17412140602339463,0.27905413951335406,-0.17539170130120352,-0.34498391627511604
MSFT,MSFT,2022-2024,2025-2026,0.6,0.5120643431635389,0.39690721649484534,0.5422535211267606,0.22788203753351208,-0.02413746069683531,-0.10451936755638447,0.08038190685954916,-0.028831207363256485,-0.12820171403938505,0.1564492485870865,0.27905413951335406,-0.16469713421329168,-0.34498391627511604
