strategy,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.3649691726940294,0.19865169556338771,1.1161922059170317,-0.21389407005756456,1.706308045827575,-0.01819800569845066,-0.02738017737243827
ExtraTrees,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.224126800274296,0.11808121668505336,1.1711996935994144,-0.12309762569382798,1.8207239904996277,-0.011166354924387951,-0.015580712066112442
EqualWeightEnsemble,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.04202037837071071,0.1564797703996314,0.24793223077301146,-0.2040377193718299,0.20594416806891724,-0.014288726018324595,-0.021611258242153576
Top3Ensemble,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.16479104950980394,0.13071421023928675,0.8218443132227232,-0.11893631786094083,1.3855401989363418,-0.010569077531725703,-0.015025208541147894
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.5390820233257609,0.20660339805482772,1.4591548957021288,-0.22173128179140367,2.43124027864011,-0.019476158235041983,-0.02967608233047823
ExtraTrees,Robust Assets,"D05_SI,NVDA,SPY",0.37862755071352194,0.09577923827324467,2.225924258646147,-0.10765852655626562,3.5169304543253217,-0.007147710351971725,-0.012977080654583134
EqualWeightEnsemble,Robust Assets,"D05_SI,NVDA,SPY",0.04128622840499241,0.1591555775262364,0.2439942214948318,-0.2091212769320786,0.197427201147026,-0.0144681330397909,-0.02293964229435578
Top3Ensemble,Robust Assets,"D05_SI,NVDA,SPY",0.20080553960575243,0.11335322486100921,1.103914428644126,-0.05366976852923322,3.741501875425013,-0.007595210675911028,-0.012832809468325806
