asset,sizing_method,selected_threshold,selected_filter,test_return,benchmark_return,test_sharpe,test_mdd,test_calmar,avg_exposure,max_exposure,turnover,cost_drag
D05_SI,Binary,0.4,NO_FILTER,0.6591208285777772,0.6698980137321535,1.9442061841900036,-0.1925829267076692,3.422529919167176,1.0,1.0,1.0,0.001
D05_SI,ThreeStep,0.4,NO_FILTER,0.5774530497050381,0.6698980137321535,1.7862788746063796,-0.19987902555891202,2.889012732027956,0.9775725593667546,1.0,8.0,0.008
D05_SI,FourStep,0.4,NO_FILTER,0.36068576739189395,0.6698980137321535,1.4452591211583323,-0.1896333917711971,1.9020161165871081,0.6868073878627967,1.0,23.200000000000003,0.023200000000000002
MSFT,Binary,0.4,NO_FILTER,-0.056984936287294174,-0.06258046829452135,-0.0016317779596918634,-0.34498391627511693,-0.16518142904334696,1.0,1.0,1.0,0.001
MSFT,ThreeStep,0.4,NO_FILTER,-0.05177502269986145,-0.06258046829452135,0.010163512763815231,-0.3469567528490526,-0.14922615650137455,0.9826666666666667,1.0,5.5,0.0055
MSFT,FourStep,0.4,NO_FILTER,-0.004427683285252559,-0.06258046829452135,0.1063863555701839,-0.28645675349471256,-0.015456725077121583,0.7933333333333332,1.0,26.5,0.026500000000000003
NVDA,Binary,0.55,NO_FILTER,0.2199932230380186,0.4529822063894966,1.0898634222730266,-0.06504235423855342,3.3823071998771392,0.050666666666666665,1.0,26.0,0.026000000000000002
NVDA,ThreeStep,0.55,NO_FILTER,0.10189469347366242,0.4529822063894966,1.0285693081569711,-0.03255298824582997,3.1301179696372454,0.02666666666666667,1.0,14.0,0.014
NVDA,FourStep,0.55,NO_FILTER,0.06074101353738892,0.4529822063894966,1.0285693081569713,-0.01953943027099536,3.108637902690225,0.015999999999999997,0.6,8.399999999999999,0.008400000000000001
QQQ,Binary,0.5,NO_FILTER,0.10336673257465812,0.40427045878113965,0.46537229298001065,-0.14764231936824446,0.700115881523402,0.5386666666666666,1.0,58.0,0.05800000000000001
QQQ,ThreeStep,0.5,NO_FILTER,0.09906696783561686,0.40427045878113965,0.5435257838254731,-0.10004640869228654,0.9902101347817276,0.28,1.0,33.0,0.033
QQQ,FourStep,0.5,NO_FILTER,0.1011507122553974,0.40427045878113965,0.6306606067185608,-0.0669171442449662,1.5115814250098756,0.17120000000000002,1.0,20.599999999999998,0.0206
SPY,Binary,0.4,NO_FILTER,0.26562096875521224,0.292537818391007,0.9821175386096364,-0.18755221196416672,1.4162507921045535,0.9146666666666666,1.0,15.0,0.015000000000000001
SPY,ThreeStep,0.4,NO_FILTER,0.253713074668902,0.292537818391007,0.9678685527161827,-0.18755221196416672,1.352759703614564,0.8333333333333334,1.0,21.0,0.021
SPY,FourStep,0.4,NO_FILTER,0.17023370093908552,0.292537818391007,0.7372011618087061,-0.1783460501400005,0.9545134350071289,0.6653333333333332,1.0,29.800000000000004,0.0298
