Ticker,Strategy,Total Return,Maximum Drawdown,Sharpe Ratio
NVDA,Buy_and_Hold,3.8051087258534064,-0.5943406315877611,1.321748321901028
NVDA,Current_Defensive,0.5976128892760173,-0.5036091472972699,0.6253624150860202
NVDA,Trend_Only,1.8573504392584073,-0.5524322074281425,1.0793620666282402
NVDA,Loose_RSI,1.4817126594258454,-0.5524322074281425,0.9809323903669553
NVDA,Breakout_60D,0.4371665867129748,-0.15282317184067729,0.9179165320655902
MSFT,Buy_and_Hold,0.3789942108325044,-0.3167448319943984,0.5678243288855217
MSFT,Current_Defensive,-0.0011501943673829507,-0.2968037207761287,0.08255771815743686
MSFT,Trend_Only,-0.07264279827068865,-0.2913018862774823,-0.04858067269257594
MSFT,Loose_RSI,-0.07693828668598157,-0.28946181394107073,-0.060499045516445034
MSFT,Breakout_60D,-0.06778794583875891,-0.10049198214546817,-0.3215704861861371
SPY,Buy_and_Hold,0.32754591740872585,-0.21610804646512582,0.6883720525464727
SPY,Current_Defensive,0.11123185922994838,-0.17067198478298218,0.3933176005746515
SPY,Trend_Only,0.09379333219095565,-0.18441513652738006,0.32821223321923293
SPY,Loose_RSI,0.16609401371419308,-0.18019059411310845,0.5275291197345814
SPY,Breakout_60D,0.11819809113089841,-0.030959386211904083,1.167735287787546
QQQ,Buy_and_Hold,0.4156009099126876,-0.29201251019945307,0.6668770302696678
QQQ,Current_Defensive,-0.0190706407989768,-0.2859809218295415,0.01917104988513012
QQQ,Trend_Only,0.016543015209468992,-0.270850842767293,0.11623609555177968
QQQ,Loose_RSI,0.09740519606579823,-0.26913943082909675,0.298249576445187
QQQ,Breakout_60D,0.25945832569715477,-0.03426029932573116,1.5104845627946497
D05_SI,Buy_and_Hold,0.5914624000067645,-0.1661271810440561,1.1489926074420038
D05_SI,Current_Defensive,0.2333413181876891,-0.12339410663498707,0.7685943831382858
D05_SI,Trend_Only,0.41351492924328004,-0.1466910673944114,1.064126023011257
D05_SI,Loose_RSI,0.32535176656728293,-0.1466910673944113,0.9103458295200244
D05_SI,Breakout_60D,0.16999150575894895,-0.030516567125984717,1.105945678816718
