Feature,Importance
volatility_20d,0.1918042177624738
volatility_5d,0.1699410201336568
rsi,0.11752380973975345
ma20_ma60_ratio,0.11145143265915079
close_ma60_ratio,0.10566907485977789
return_20d,0.10181293640371894
return_5d,0.08059223836152377
close_ma20_ratio,0.07003913630083265
return_1d,0.051166133779111875
